n,Datetime (UTC),Timestamp (s),Altitude (m),Temperature (C),Longitude,Latitude,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Flag
0,2025-02-22 09:10:56,0.554,-0.08,16.078,-1,-1,0.039794921875,-0.992431640625,-0.040771484375,Before Launch
1,2025-02-22 09:10:57,1.198,-0.034,16.081,-1,-1,0.0595703125,-0.9853515625,-0.04248046875,Before Launch
2,2025-02-22 09:10:58,2.122,0.126,16.076,-117.79582583333334,35.104714666666666,0.052490234375,-0.971435546875,-0.173828125,Before Launch
3,2025-02-22 09:10:59,3.116,0.082,16.066,-117.79582583333334,35.104714333333334,0.06103515625,-0.992919921875,-0.06494140625,Before Launch
4,2025-02-22 09:11:00,4.128,0.077,16.078,-117.79582566666667,35.10471416666667,0.049072265625,-0.9912109375,-0.0478515625,Before Launch
5,2025-02-22 09:11:01,5.117,0.104,16.066,-1,-1,0.048828125,-0.9921875,-0.06103515625,Before Launch
6,2025-02-22 09:11:02,6.128,-0.131,16.073,-117.79582583333334,35.104714,0.04931640625,-0.993408203125,-0.059814453125,Before Launch
7,2025-02-22 09:11:03,7.117,0.052,16.078,-117.79582583333334,35.104714333333334,0.053955078125,-0.993408203125,-0.04248046875,Before Launch
8,2025-02-22 09:11:04,8.128,0.216,16.076,-117.795826,35.10471416666667,0.050537109375,-0.995361328125,-0.052490234375,Before Launch
9,2025-02-22 09:11:05,9.113,-0.127,16.083,-117.795826,35.10471416666667,0.050537109375,-0.994140625,-0.0546875,Before Launch
10,2025-02-22 09:11:06,10.127,-0.085,16.086,-1,-1,0.0380859375,-0.98828125,-0.0546875,Before Launch
11,2025-02-22 09:11:07,11.117,0.152,16.083,-117.79582566666667,35.1047145,0.06103515625,-1.000244140625,-0.059326171875,Before Launch
12,2025-02-22 09:11:08,12.129,-0.21,16.081,-117.7958255,35.104714666666666,0.052978515625,-0.99658203125,-0.058837890625,Before Launch
13,2025-02-22 09:11:09,13.116,-0.051,16.083,-117.79582516666666,35.104715,0.05029296875,-0.993896484375,-0.058349609375,Before Launch
14,2025-02-22 09:11:10,14.129,-0.024,16.091,-117.79582516666666,35.1047155,0.04638671875,-0.9921875,-0.05322265625,Before Launch
15,2025-02-22 09:11:11,15.117,0.152,16.098,-1,-1,0.0546875,-0.99267578125,-0.063232421875,Before Launch
16,2025-02-22 09:11:12,16.13,0.134,16.111,-117.79582516666666,35.10471583333333,0.051513671875,-0.988037109375,-0.0546875,Before Launch
17,2025-02-22 09:11:13,17.12,0.132,16.096,-117.7958255,35.10471583333333,0.05224609375,-0.99365234375,-0.060546875,Before Launch
18,2025-02-22 09:11:14,18.132,0.009,16.115,-117.79582533333334,35.1047155,0.037841796875,-1.00830078125,-0.08349609375,Before Launch
19,2025-02-22 09:11:15,19.122,0.193,16.115,-117.795825,35.104715166666665,0.054931640625,-0.988525390625,-0.0498046875,Before Launch
20,2025-02-22 09:11:16,20.129,0.066,16.101,-1,-1,0.041259765625,-0.99853515625,-0.049072265625,Before Launch
21,2025-02-22 09:11:17,21.122,-0.116,16.108,-117.79582516666666,35.104715166666665,0.04736328125,-0.983154296875,-0.055908203125,Before Launch
22,2025-02-22 09:11:18,22.134,0.161,16.115,-117.79582583333334,35.104715166666665,0.05224609375,-0.99462890625,-0.06005859375,Before Launch
23,2025-02-22 09:11:19,23.123,-0.006,16.111,-117.7958265,35.10471483333333,0.056396484375,-0.997314453125,-0.048583984375,Before Launch
24,2025-02-22 09:11:20,24.135,0.219,16.128,-117.79582716666667,35.104714333333334,0.052490234375,-0.9921875,-0.05322265625,Before Launch
25,2025-02-22 09:11:21,25.125,0.18,16.133,-1,-1,0.059326171875,-0.998779296875,-0.076904296875,Before Launch
26,2025-02-22 09:11:22,26.136,0.182,16.14,-117.79582733333334,35.104714,0.049072265625,-0.99609375,-0.062255859375,Before Launch
