n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Flag
0,2025-03-14 00:12:35,0.4,-0.09514436,,20.949,-1,-1,-1,-1,Before Launch
1,2025-03-14 00:12:36,1.482,-0.08202100000000001,0.012,20.957,-1,-1,-1,-1,Before Launch
2,2025-03-14 00:12:37,2.563,0.25262468,0.31,20.959,-1,-1,-1,-1,Before Launch
3,2025-03-14 00:12:38,3.644,1.3287402000000001,0.995,20.954,-1,-1,-1,-1,Before Launch
4,2025-03-14 00:12:39,4.725,0.76771656,-0.519,20.959,-1,-1,-1,-1,During Launch
5,2025-03-14 00:12:41,6.204,-0.0656168,-0.563,20.949,-1,-1,-1,-1,During Launch
6,2025-03-14 00:12:42,7.285,-0.29855644,-0.215,20.959,-1,-1,-1,-1,During Launch
7,2025-03-14 00:12:43,8.366,0.29855644,0.552,20.952,-1,-1,-1,-1,During Launch
8,2025-03-14 00:12:44,9.447,0.32808400000000004,0.027,20.959,-1,-1,-1,-1,During Launch
9,2025-03-14 00:12:45,10.528,-0.8694226,-1.108,20.959,-1,-1,-1,-1,During Launch
10,2025-03-14 00:12:46,12.009,-0.14107612,0.492,20.957,-1,-1,-1,-1,During Launch
11,2025-03-14 00:12:48,13.09,1.49934388,1.518,20.967,-1,-1,-1,-1,During Launch
12,2025-03-14 00:12:49,14.171,0.34120735999999996,-1.071,20.957,-1,-1,-1,-1,During Launch
13,2025-03-14 00:12:50,15.252,-0.30839896,-0.601,20.954,-1,-1,-1,-1,During Launch
14,2025-03-14 00:12:51,16.333,-0.06889764000000001,0.222,20.962,-1,-1,-1,-1,During Launch
15,2025-03-14 00:12:52,17.814,0.47900264,0.37,20.962,-1,-1,-1,-1,After Launch
