n,Datetime (UTC),Timestamp (s),Altitude (m),Temperature (C),Longitude,Latitude,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Flag
0,2025-03-13 23:23:28,0.981,-0.156,21.393,-1,-1,-1,-1,-1,Before Launch
1,2025-03-13 23:23:29,2.062,-0.133,21.398,-1,-1,-1,-1,-1,Before Launch
2,2025-03-13 23:23:30,3.143,-0.049,21.393,-1,-1,-1,-1,-1,Before Launch
3,2025-03-13 23:23:32,4.224,-0.305,21.398,-1,-1,-1,-1,-1,Before Launch
4,2025-03-13 23:23:33,5.305,-0.109,21.401,-1,-1,-1,-1,-1,Before Launch
5,2025-03-13 23:23:34,6.786,-0.467,21.403,-1,-1,-1,-1,-1,Before Launch
6,2025-03-13 23:23:35,7.867,-0.133,21.393,-1,-1,-1,-1,-1,Before Launch
7,2025-03-13 23:23:36,8.948,-0.156,21.401,-1,-1,-1,-1,-1,Before Launch
8,2025-03-13 23:23:37,10.029,-0.332,21.401,-1,-1,-1,-1,-1,Before Launch
9,2025-03-13 23:23:38,11.11,-0.202,21.396,-1,-1,-1,-1,-1,Before Launch
10,2025-03-13 23:23:40,12.592,-0.194,21.403,-1,-1,-1,-1,-1,Before Launch
11,2025-03-13 23:23:41,13.673,0.098,21.406,-1,-1,-1,-1,-1,Before Launch
12,2025-03-13 23:23:42,14.754,0.377,21.396,-1,-1,-1,-1,-1,Before Launch
13,2025-03-13 23:23:43,15.835,0.121,21.421,-1,-1,-1,-1,-1,Before Launch
14,2025-03-13 23:23:44,16.916,0.224,21.398,-1,-1,-1,-1,-1,Before Launch
15,2025-03-13 23:23:46,18.398,-0.093,21.418,-1,-1,-1,-1,-1,Before Launch
16,2025-03-13 23:23:47,19.479,-0.105,21.418,-1,-1,-1,-1,-1,Before Launch
17,2025-03-13 23:23:48,20.56,0.45,21.403,-1,-1,-1,-1,-1,Before Launch
18,2025-03-13 23:23:49,21.641,0.613,21.413,-1,-1,-1,-1,-1,Before Launch
19,2025-03-13 23:23:50,22.722,0.696,21.411,-1,-1,-1,-1,-1,Before Launch
20,2025-03-13 23:23:52,24.203,0.537,21.411,-1,-1,-1,-1,-1,Before Launch
21,2025-03-13 23:23:53,25.284,0.738,21.413,-1,-1,-1,-1,-1,Before Launch
22,2025-03-13 23:23:54,26.365,0.792,21.418,-1,-1,-1,-1,-1,Before Launch
23,2025-03-13 23:23:55,27.446,0.653,21.418,-1,-1,-1,-1,-1,Before Launch
24,2025-03-13 23:23:56,28.527,0.643,21.428,-1,-1,-1,-1,-1,Before Launch
25,2025-03-13 23:23:57,30.008,0.671,21.416,-1,-1,-1,-1,-1,Before Launch
