n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Yaw (°),Flag
0,2025-04-27 20:55:52,0.004,3.3300525999999997,,21.426,-1,-1,0.0,0.0,0.0,Before Launch
1,2025-04-27 20:55:52,0.046,4.78346472,,21.418,-1,-1,0.0,0.0,0.0,Before Launch
2,2025-04-27 20:55:52,0.089,5.01312352,,21.428,-1,-1,0.0,0.0,0.0,Before Launch
3,2025-04-27 20:55:52,0.132,5.6299214399999995,,21.416,-1,-1,0.0,0.0,0.0,During Launch
4,2025-04-27 20:55:52,0.175,3.7073491999999995,,21.433,-1,-1,0.0,0.0,0.0,During Launch
5,2025-04-27 20:55:52,0.217,4.77034136,,21.426,-1,-1,0.0,0.0,0.0,During Launch
6,2025-04-27 20:55:53,0.26,4.17650932,,21.416,-1,-1,0.0,0.0,0.0,During Launch
7,2025-04-27 20:55:53,0.302,3.93372716,,21.421,-1,-1,0.0,0.0,0.0,During Launch
8,2025-04-27 20:55:53,0.345,4.90157496,,21.423,-1,-1,0.0,0.0,0.0,During Launch
9,2025-04-27 20:55:53,0.387,4.41929148,,21.418,-1,-1,0.0,0.0,0.0,During Launch
10,2025-04-27 20:55:53,0.43,4.675197,,21.428,-1,-1,0.0,0.0,0.0,During Launch
11,2025-04-27 20:55:53,0.472,5.99737552,,21.423,-1,-1,0.0,0.0,0.0,During Launch
12,2025-04-27 20:55:53,0.514,4.78674556,,21.426,0.0,0.0,0.0,0.0,0.0,During Launch
13,2025-04-27 20:55:53,0.557,4.66207364,,21.421,0.0,0.0,0.0,0.0,0.0,During Launch
14,2025-04-27 20:55:53,0.599,4.78346472,,21.418,0.0,0.0,0.0,0.0,0.0,During Launch
15,2025-04-27 20:55:53,0.642,4.66207364,,21.421,0.0,0.0,0.0,0.0,0.0,During Launch
16,2025-04-27 20:55:53,0.684,4.78346472,,21.418,0.0,0.0,0.0,0.0,0.0,During Launch
17,2025-04-27 20:55:53,0.726,5.03937024,,21.428,0.0,0.0,0.0,0.0,0.0,During Launch
18,2025-04-27 20:55:53,0.769,3.21850404,,21.423,0.0,0.0,0.0,0.0,0.0,During Launch
19,2025-04-27 20:55:53,0.811,4.31102376,,21.428,0.0,0.0,0.0,0.0,0.0,During Launch
20,2025-04-27 20:55:53,0.857,4.78674556,,21.428,0.0,0.0,0.0,0.0,0.0,During Launch
21,2025-04-27 20:55:53,0.899,4.31102376,,21.428,0.0,0.0,0.0,0.0,0.0,During Launch
22,2025-04-27 20:55:53,0.942,4.28805788,,21.413,0.0,0.0,0.0,0.0,0.0,During Launch
23,2025-04-27 20:55:53,0.984,4.675197,,21.428,0.0,0.0,0.0,0.0,0.0,During Launch
24,2025-04-27 20:55:53,1.027,3.9468505200000004,,21.428,0.0,0.0,36.28100076749571,-37.3364750906482,35.419954439427734,During Launch
25,2025-04-27 20:55:53,1.07,3.9468505200000004,0.579,21.428,0.0,0.0,42.18171021228585,-42.66034406785757,41.778874380453,During Launch
26,2025-04-27 20:55:53,1.112,3.81561692,-0.908,21.423,0.0,0.0,43.15957839828091,-43.526264006684656,42.77418671065547,During Launch
27,2025-04-27 20:55:53,1.156,4.05839908,-0.895,21.426,0.0,0.0,69.15026233435624,-86.7137281452806,23.36137945972342,During Launch
28,2025-04-27 20:55:53,1.198,3.46456704,-2.031,21.431,0.0,0.0,76.45980205769405,-99.13582611624693,17.915266519202454,During Launch
29,2025-04-27 20:55:54,1.24,4.9048558,1.124,21.423,0.0,0.0,85.26285725279058,-115.56189117905039,11.181966038889785,During Launch
30,2025-04-27 20:55:54,1.283,3.7073491999999995,-0.997,21.433,0.0,0.0,87.83054762767424,-120.99935448401166,9.100706219847236,During Launch
31,2025-04-27 20:55:54,1.326,4.43569568,0.243,21.433,0.0,0.0,90.86834697307435,-127.82250235006248,6.5322498297385145,During Launch
32,2025-04-27 20:55:54,1.368,3.9468505200000004,0.012,21.428,0.0,0.0,91.75674478606821,-129.98491199141372,5.748213341060302,During Launch
33,2025-04-27 20:55:54,1.41,3.46456704,-1.349,21.431,0.0,0.0,92.97002435705014,-133.47068954931976,4.625581130485996,During Launch
34,2025-04-27 20:55:54,1.454,2.97900272,-1.35,21.433,0.0,0.0,93.27614050186985,-134.30555811834404,4.284338417027058,During Launch
35,2025-04-27 20:55:54,1.496,2.73622056,-1.819,21.431,0.0,0.0,93.39947548868321,-133.36125543364062,3.8473301033643805,During Launch
36,2025-04-27 20:55:54,1.538,4.43569568,-1.465,21.433,0.0,0.0,93.37054654187712,-132.77370193475673,3.6769399609367825,During Launch
37,2025-04-27 20:55:54,1.581,3.6942258399999996,-1.024,21.426,0.0,0.0,93.29699321066491,-131.8550666128,3.4675975330954745,During Launch
38,2025-04-27 20:55:54,1.624,4.071522440000001,-0.553,21.433,0.0,0.0,93.27256989468418,-131.5347849338555,3.4130701177780125,During Launch
39,2025-04-27 20:55:54,1.674,3.22178488,-1.453,21.436,0.0,0.0,93.36279934843424,-130.93597953447227,3.4372211839375963,During Launch
40,2025-04-27 20:55:54,1.718,3.3562993199999998,-1.214,21.441,0.0,0.0,93.42289645105222,-130.55586774532242,3.480672545702492,During Launch
41,2025-04-27 20:55:54,1.761,3.9632547199999997,-0.762,21.443,0.0,0.0,93.44671196611223,-130.18475207411097,3.4963980534360766,During Launch
42,2025-04-27 20:55:54,1.804,3.47440956,-1.452,21.438,0.0,0.0,93.41230210027894,-129.51315118907257,3.590589735466374,During Launch
43,2025-04-27 20:55:54,1.847,3.9632547199999997,0.691,21.443,0.0,0.0,93.50854713038157,-129.38904235857558,3.6556609774686923,During Launch
