n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Yaw (°),Flag
0,2025-05-04 01:00:34,0.16,1.3156168400000001,,28.36,-1,-1,19.548705006636222,-20.04041248098351,20.07114526845427,Before Launch
1,2025-05-04 01:00:34,1.458,1.91601056,,28.36,-1,-1,28.88778575837971,-29.15031682851044,29.286564608425817,Before Launch
2,2025-05-04 01:00:34,1.512,2.38517068,,28.35,-1,-1,37.52685213936618,-37.56481406558858,37.71638975920454,Before Launch
3,2025-05-04 01:00:34,1.556,3.01509196,,28.353,-1,-1,49.93505433695143,-0.6404980929137167,6.653419031559146,Before Launch
4,2025-05-04 01:00:34,1.615,2.6574804000000003,,28.36,-1,-1,64.93537219583202,43.12835385336328,-29.49379544711112,Before Launch
5,2025-05-04 01:00:34,1.662,2.6574804000000003,,28.36,-1,-1,70.10310128900416,57.50239922432817,-41.02324837429654,Before Launch
6,2025-05-04 01:00:35,1.807,1.8077428400000002,,28.363,-1,-1,76.76429965730951,74.85950391753221,-55.155532132171786,Before Launch
7,2025-05-04 01:00:35,1.869,2.05708668,,28.37,-1,-1,79.20814637999642,80.96324127243084,-60.23737354208845,Before Launch
8,2025-05-04 01:00:35,1.968,1.066273,,28.363,-1,-1,80.24320044885854,83.33809281391122,-62.22200979474187,Before Launch
9,2025-05-04 01:00:35,2.055,3.1496063999999997,,28.363,-1,-1,80.9048502013632,84.5506403414823,-62.836564144132474,Before Launch
10,2025-05-04 01:00:35,2.103,3.02821532,,28.36,-1,-1,81.05496798841341,85.0452556116306,-63.187969518379965,Before Launch
11,2025-05-04 01:00:35,2.156,1.68635176,,28.368,-1,-1,80.78639938955837,85.02909533729064,-63.26037260407712,Before Launch
12,2025-05-04 01:00:35,2.2,2.6574804000000003,,28.36,-1,-1,80.25744008806709,84.9433905525309,-63.45219001956888,Before Launch
13,2025-05-04 01:00:35,2.244,2.64435704,,28.353,-1,-1,80.09191214539308,84.89909281453241,-63.58173024484501,Before Launch
14,2025-05-04 01:00:35,2.287,4.10761168,,28.345,-1,-1,79.82029103734033,84.90593107025337,-63.78943083441116,Before Launch
15,2025-05-04 01:00:35,2.33,3.01509196,,28.353,-1,-1,79.80865027556189,84.83811766367226,-63.848442813318805,Before Launch
16,2025-05-04 01:00:35,2.374,1.5452756399999998,,28.358,-1,-1,79.74283877389935,84.81964455967893,-64.05340819803342,Before Launch
17,2025-05-04 01:00:35,2.417,1.07611552,,28.37,-1,-1,79.89504264324842,84.72308393109182,-64.05698131861438,Before Launch
18,2025-05-04 01:00:35,2.472,2.1784777600000003,,28.363,-1,-1,80.30374382238809,84.70265296315716,-64.01373556936842,Before Launch
19,2025-05-04 01:00:35,2.517,1.41404204,,28.358,-1,-1,81.36293476851773,84.5771546771302,-63.84417555778979,Before Launch
20,2025-05-04 01:00:35,2.565,2.79855652,,28.365,-1,-1,82.16730606248377,84.55026894035579,-63.824873214480895,Before Launch
21,2025-05-04 01:00:35,2.612,3.02821532,,28.36,-1,-1,84.48683419398589,84.90007494993846,-63.70242459192672,Before Launch
22,2025-05-04 01:00:35,2.671,2.6574804000000003,,28.36,-1,-1,86.58796730093617,85.32266807875257,-63.83015613224604,Before Launch
23,2025-05-04 01:00:35,2.722,3.1496063999999997,,28.358,-1,-1,89.13694992440257,84.60859915259145,-64.66372657909847,Before Launch
24,2025-05-04 01:00:35,2.778,1.4370079199999999,,28.37,-1,-1,90.83063177878107,83.59087897947676,-65.41041503406576,Before Launch
25,2025-05-04 01:00:36,2.825,2.37532816,0.398,28.343,-1,-1,95.15930765670386,83.60549297905715,-65.7710102203781,Before Launch
26,2025-05-04 01:00:36,2.89,1.8077428400000002,-0.076,28.363,-1,-1,99.56866575320707,86.90128048093601,-64.12766944739427,Before Launch
27,2025-05-04 01:00:36,2.944,2.6574804000000003,0.19,28.36,-1,-1,103.1770746783412,90.49752596861094,-61.47175181155501,Before Launch
28,2025-05-04 01:00:36,2.993,2.91666676,-0.068,28.353,-1,-1,103.8678398011944,91.54779163572724,-60.2436536639734,Before Launch
29,2025-05-04 01:00:36,3.038,3.02821532,0.261,28.36,-1,-1,97.74010408668813,90.23870390449284,-62.13692724105812,Before Launch
30,2025-05-04 01:00:36,3.084,3.02821532,0.261,28.36,-1,-1,93.76110702759267,88.5131541812527,-63.77244632718872,Before Launch
31,2025-05-04 01:00:36,3.143,2.68044628,0.653,28.368,-1,-1,88.46300091237728,85.56170237948942,-66.12254446596347,Before Launch
32,2025-05-04 01:00:36,3.193,3.39895024,1.013,28.36,-1,-1,85.99570713173708,84.21566678317798,-68.38436233094498,Before Launch
33,2025-05-04 01:00:36,3.243,1.8077428400000002,0.582,28.365,-1,-1,86.59089738396108,84.34728991323554,-70.30246705817777,Before Launch
34,2025-05-04 01:00:36,3.302,3.16929144,0.016,28.365,-1,-1,87.61954007734833,84.82988883261253,-70.82721454549225,Before Launch
35,2025-05-04 01:00:36,3.363,3.51706048,0.388,28.358,-1,-1,88.4609907229662,85.5153908940276,-71.56424096685886,Before Launch
36,2025-05-04 01:00:36,3.416,1.5879265599999999,-0.078,28.375,0.0,0.0,90.97158230673077,87.1651806199634,-71.91660104373993,Before Launch
37,2025-05-04 01:00:36,3.464,2.28674548,-0.293,28.36,0.0,0.0,94.03502281558173,89.94344869624155,-72.44200884245404,Before Launch
38,2025-05-04 01:00:36,3.521,4.3996064399999995,1.375,28.363,0.0,0.0,97.22558560904206,91.325800926108,-74.55257512410688,Before Launch
39,2025-05-04 01:00:36,3.577,4.281496199999999,0.135,28.363,0.0,0.0,105.4225995877625,92.99335616154153,-78.84693731826397,Before Launch
40,2025-05-04 01:00:36,3.633,3.02821532,0.01,28.363,0.0,0.0,109.22484185415794,93.23216400864302,-81.35218302765882,Before Launch
41,2025-05-04 01:00:36,3.684,4.16010512,1.996,28.368,0.0,0.0,112.3519264532228,92.6481072563205,-85.33929482700613,Before Launch
42,2025-05-04 01:00:36,3.732,5.25262484,3.176,28.36,0.0,0.0,114.63274343853331,92.91492417885448,-85.41063678839969,Before Launch
