n,Datetime (UTC),Timestamp (s),Altitude (m),Temperature (C),Longitude,Latitude,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Flag
0,2025-02-21 15:20:11,0.986,0.313,26.452,-1,-1,0.127685546875,-0.015625,1.083984375,Before Launch
1,2025-02-21 15:20:12,2.072,0.249,26.457,-1,-1,0.129638671875,-0.01171875,1.10595703125,Before Launch
2,2025-02-21 15:20:13,3.159,0.313,26.454,-1,-1,0.13330078125,-0.010986328125,1.093017578125,Before Launch
3,2025-02-21 15:20:14,4.245,0.294,26.454,-1,-1,0.13330078125,-0.00830078125,1.095703125,Before Launch
4,2025-02-21 15:20:15,5.331,-0.047,26.454,-1,-1,0.169921875,0.0244140625,1.186279296875,Before Launch
5,2025-02-21 15:20:17,6.817,0.268,26.457,-1,-1,0.13037109375,-0.009521484375,1.10400390625,Before Launch
6,2025-02-21 15:20:18,7.903,0.04,26.454,-1,-1,0.13427734375,-0.01416015625,1.10546875,Before Launch
7,2025-02-21 15:20:19,8.989,0.29,26.464,-1,-1,0.128662109375,-0.009521484375,1.103515625,Before Launch
8,2025-02-21 15:20:20,10.075,-0.016,26.459,-1,-1,0.1298828125,-0.00927734375,1.100830078125,Before Launch
9,2025-02-21 15:20:21,11.161,0.04,26.459,-1,-1,0.1328125,-0.010498046875,1.10400390625,Before Launch
10,2025-02-21 15:20:23,12.647,-0.044,26.459,-1,-1,0.131591796875,-0.011962890625,1.095947265625,Before Launch
11,2025-02-21 15:20:24,13.733,0.081,26.462,-1,-1,0.1298828125,-0.012939453125,1.098388671875,Before Launch
12,2025-02-21 15:20:25,14.819,0.263,26.457,-1,-1,0.1796875,0.025146484375,1.08056640625,Before Launch
