n,Datetime (UTC),Timestamp (s),Altitude (m),Temperature (C),Longitude,Latitude,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Flag
0,2025-02-21 23:35:19,0.986,1.373,22.354,-1,-1,-0.37841796875,-0.379150390625,0.6103515625,Before Launch
1,2025-02-21 23:35:20,2.085,2.044,22.356,0.0,0.0,-0.83251953125,-0.364501953125,0.3720703125,Before Launch
2,2025-02-21 23:35:21,3.083,1.713,22.356,0.0,0.0,-0.9443359375,-0.221435546875,0.053466796875,During Launch
3,2025-02-21 23:35:22,4.085,1.901,22.363,0.0,0.0,-0.89404296875,-0.21923828125,0.066650390625,During Launch
4,2025-02-21 23:35:23,5.098,1.464,22.349,0.0,0.0,-0.843505859375,-0.12841796875,-0.173095703125,During Launch
5,2025-02-21 23:35:24,6.088,0.409,22.326,-1,-1,0.17822265625,-0.04541015625,-0.6826171875,During Launch
6,2025-02-21 23:35:25,7.088,-0.3,22.306,0.0,0.0,0.09033203125,0.272216796875,-0.8447265625,During Launch
7,2025-02-21 23:35:26,8.088,-0.597,22.299,0.0,0.0,0.102783203125,0.398193359375,-0.89697265625,During Launch
8,2025-02-21 23:35:27,9.085,-0.098,22.271,0.0,0.0,0.03955078125,0.427001953125,-0.773193359375,During Launch
9,2025-02-21 23:35:28,10.085,-0.315,22.294,0.0,0.0,-0.020263671875,0.658203125,-0.681640625,During Launch
10,2025-02-21 23:35:29,11.084,-0.183,22.241,-1,-1,-0.02880859375,0.658447265625,-0.66796875,During Launch
11,2025-02-21 23:35:30,12.083,-0.119,22.244,0.0,0.0,-0.0224609375,0.65234375,-0.65673828125,During Launch
12,2025-02-21 23:35:31,13.085,-0.257,22.204,0.0,0.0,-0.03076171875,0.6591796875,-0.675048828125,After Launch
13,2025-02-21 23:36:18,60.406,-0.177,21.75,-1,-1,-0.019775390625,0.652099609375,-0.66748046875,After Launch
