n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Flag
0,2025-03-19 23:15:22,0.403,-0.01312336,,22.042,-1,-1,0.0,0.0,Before Launch
1,2025-03-19 23:15:23,0.906,-0.01312336,0.0,22.042,-1,-1,0.0,0.0,Before Launch
2,2025-03-19 23:15:23,1.408,0.22637796000000002,0.477,22.037,-1,-1,3.212845662918843,-8.081345081803079,Before Launch
3,2025-03-19 23:15:24,1.916,-0.25590552,-0.949,22.039,-1,-1,0.6511737069652639,-5.7604964829236165,Before Launch
4,2025-03-19 23:15:24,2.421,-0.13451444,0.24,22.037,-1,-1,0.5998348852292693,-5.765173674307026,Before Launch
5,2025-03-19 23:15:25,3.326,0.5905511999999999,0.801,22.037,-1,-1,0.6208795402986276,-5.776604990785307,Before Launch
6,2025-03-19 23:15:25,3.828,-0.9678477999999999,-3.104,22.047,-1,-1,0.563917023868837,-5.786997436648456,Before Launch
7,2025-03-19 23:15:26,4.332,-0.01312336,1.894,22.042,-1,-1,0.6334709897827782,-5.724425525626377,Before Launch
8,2025-03-19 23:15:26,4.834,-0.01312336,0.0,22.042,-1,-1,0.5959082827515335,-5.708015720538547,Before Launch
9,2025-03-19 23:15:27,5.337,-0.61679792,-1.2,22.039,-1,-1,0.582720712839418,-5.763001869249757,Before Launch
10,2025-03-19 23:15:28,6.243,-0.738189,-0.134,22.042,-1,-1,0.6629760937456305,-5.744070429608606,Before Launch
11,2025-03-19 23:15:28,6.75,-1.0990814,-0.712,22.039,-1,-1,0.5675155636022767,-5.744258326821399,Before Launch
12,2025-03-19 23:15:29,7.252,-0.85629924,0.484,22.044,-1,-1,0.6038827190655535,-5.78895207411106,Before Launch
13,2025-03-19 23:15:29,7.754,-0.9678477999999999,-0.222,22.047,-1,-1,0.6130130298949706,-5.752466344496743,Before Launch
14,2025-03-19 23:15:30,8.261,-1.45013128,-0.951,22.049,-1,-1,0.5808023240862514,-5.767364085255662,Before Launch
15,2025-03-19 23:15:31,9.168,-0.36417324,1.197,22.049,-1,-1,0.6135304244444434,-5.769638707671425,Before Launch
16,2025-03-19 23:15:31,9.67,0.22965880000000002,1.183,22.044,-1,-1,0.5706367935780756,-5.744484000531969,Before Launch
17,2025-03-19 23:15:32,10.173,-0.738189,-1.924,22.042,-1,-1,0.579823505640954,-5.7323302612055596,Before Launch
18,2025-03-19 23:15:32,10.676,0.5905511999999999,2.642,22.044,-1,-1,0.5847659256920492,-5.7188360090783465,Before Launch
19,2025-03-19 23:15:33,11.179,-0.9678477999999999,-3.098,22.047,-1,-1,0.5884477549340003,-5.7327960472084065,Before Launch
20,2025-03-19 23:15:34,12.082,0.3608924,1.471,22.049,-1,-1,0.5874089506515725,-5.684128242861638,Before Launch
21,2025-03-19 23:15:34,12.585,-0.9678477999999999,-2.642,22.054,-1,-1,0.6099321032149551,-5.729734691723063,Before Launch
22,2025-03-19 23:15:35,13.088,-0.72506564,0.483,22.057,-1,-1,0.6234194562886759,-5.679492271207856,Before Launch
23,2025-03-19 23:15:35,13.59,-0.24278216,0.961,22.054,-1,-1,0.6506847954420375,-5.791696994775743,Before Launch
24,2025-03-19 23:15:36,14.093,-1.69291344,-2.883,22.047,-1,-1,0.601749057002985,-5.787242236559745,Before Launch
25,2025-03-19 23:15:37,14.997,-0.00328084,1.869,22.049,-1,-1,0.6437057022925723,-5.769347492294156,Before Launch
26,2025-03-19 23:15:37,15.501,-1.1975065999999999,-2.369,22.059,-1,-1,0.5741941935316901,-5.691884194120085,Before Launch
27,2025-03-19 23:15:38,16.004,-1.6896326,-0.978,22.054,-1,-1,0.6544121161094576,-5.681857699823648,Before Launch
28,2025-03-19 23:15:38,16.506,-0.36417324,2.64,22.057,-1,-1,0.5994780973690136,-5.729319378517572,Before Launch
29,2025-03-19 23:15:39,17.013,-1.1975065999999999,-1.644,22.059,-1,-1,0.6190041856723938,-5.7040360132569345,Before Launch
30,2025-03-19 23:15:40,17.917,0.3608924,1.724,22.057,-1,-1,0.6161104464273061,-5.739552313261057,Before Launch
31,2025-03-19 23:15:40,18.42,-0.60367456,-1.918,22.054,-1,-1,0.6718343755676457,-5.7439334890031,Before Launch
32,2025-03-19 23:15:41,18.922,1.8077428400000002,4.804,22.057,-1,-1,0.6468763865849714,-5.7350039303197375,Before Launch
33,2025-03-19 23:15:41,19.425,-0.36417324,-4.318,22.052,-1,-1,0.5803860265507852,-5.72926077900558,Before Launch
34,2025-03-19 23:15:42,19.927,-0.9547244399999999,-1.176,22.054,-1,-1,0.6245283689680358,-5.762674378292234,Before Launch
35,2025-03-19 23:15:42,20.832,-0.12139108,0.921,22.052,-1,-1,0.6204576073867792,-5.732227840050572,Before Launch
36,2025-03-19 23:15:43,21.334,-0.0,0.242,22.057,-1,-1,0.5499986697038105,-5.760609049092509,Before Launch
37,2025-03-19 23:15:43,21.838,-0.72506564,-1.439,22.054,-1,-1,0.5478973110201291,-5.68915104353373,Before Launch
38,2025-03-19 23:15:44,22.341,-0.24278216,0.959,22.054,-1,-1,0.5906465771673794,-5.762737599389596,Before Launch
39,2025-03-19 23:15:44,22.843,0.48228348,1.444,22.059,-1,-1,0.6189576834230314,-5.730873738063376,Before Launch
40,2025-03-19 23:15:45,23.75,-0.12139108,-0.666,22.057,-1,-1,0.594177411377287,-5.6958062203392865,Before Launch
41,2025-03-19 23:15:46,24.256,-0.0,0.24,22.057,-1,-1,0.5796047845592918,-5.690527351993296,Before Launch
42,2025-03-19 23:15:46,24.758,1.20406828,2.399,22.047,-1,-1,0.6231423758158094,-5.650806499679127,Before Launch
43,2025-03-19 23:15:47,25.261,0.3608924,-1.676,22.057,-1,-1,0.6233564695269244,-5.820347133002104,Before Launch
44,2025-03-19 23:15:47,25.768,0.48228348,0.239,22.054,-1,-1,0.610546956222826,-5.907225863896092,Before Launch
45,2025-03-19 23:15:48,26.678,-0.9678477999999999,-1.594,22.054,-1,-1,0.588245637017467,-5.726345582992664,Before Launch
46,2025-03-19 23:15:49,27.182,0.3608924,2.636,22.057,-1,-1,0.5932211695030166,-5.762384628438713,Before Launch
47,2025-03-19 23:15:49,27.684,-0.24278216,-1.203,22.054,-1,-1,0.587320799523739,-5.7076502626859975,Before Launch
48,2025-03-19 23:15:50,28.191,-0.48556432,-0.479,22.052,-1,-1,0.5964118567764625,-5.784922878948325,Before Launch
49,2025-03-19 23:15:50,28.693,-1.08595804,-1.196,22.057,-1,-1,0.6120981993051404,-5.769298193549373,Before Launch
50,2025-03-19 23:15:51,29.601,-0.0,1.196,22.057,-1,-1,0.6416652903471448,-5.757360808978974,Before Launch
51,2025-03-19 23:15:52,30.104,0.11811023999999999,0.235,22.049,-1,-1,0.6168189242399342,-5.711075899559706,Before Launch
52,2025-03-19 23:15:52,30.608,0.83989504,1.432,22.047,-1,-1,0.6081701298537272,-5.680703840997173,Before Launch
53,2025-03-19 23:15:53,31.11,-0.48556432,-2.64,22.052,-1,-1,0.5966481005104008,-5.772360499563837,Before Launch
54,2025-03-19 23:15:53,31.613,1.0826772,3.118,22.049,-1,-1,0.6902065077500713,-5.668873456382635,Before Launch
55,2025-03-19 23:15:54,32.518,0.24934383999999998,-0.921,22.059,-1,-1,0.6134169131811502,-5.676121917647649,Before Launch
56,2025-03-19 23:15:55,33.024,-0.11154856,-0.713,22.059,-1,-1,0.6099083279768108,-5.718049524188205,Before Launch
57,2025-03-19 23:15:55,33.526,0.3608924,0.941,22.049,-1,-1,0.5775233341662428,-5.68338637563812,Before Launch
58,2025-03-19 23:15:56,34.029,-0.0,-0.717,22.057,-1,-1,0.6726511384947994,-5.74485316433709,Before Launch
59,2025-03-19 23:15:56,34.532,-0.60367456,-1.2,22.054,-1,-1,0.6021999364041026,-5.735776374258865,Before Launch
60,2025-03-19 23:15:57,35.436,1.20406828,2.0,22.047,-1,-1,0.6229884770931917,-5.727776614764292,Before Launch
61,2025-03-19 23:15:58,35.939,-0.12139108,-2.635,22.052,-1,-1,0.6273483734962586,-5.7078373115204375,Before Launch
62,2025-03-19 23:15:58,36.441,0.60039372,1.438,22.052,-1,-1,0.6080161685872915,-5.738280184467182,Before Launch
63,2025-03-19 23:15:59,36.944,0.60039372,0.0,22.052,-1,-1,0.6358575836804362,-5.753676223492291,Before Launch
64,2025-03-19 23:15:59,37.447,-0.24278216,-1.676,22.054,-1,-1,0.6483169627736232,-5.772813221450046,Before Launch
65,2025-03-19 23:16:00,38.351,1.6765092400000001,2.123,22.044,-1,-1,0.6153961706679169,-5.705536661962027,Before Launch
66,2025-03-19 23:16:00,38.853,0.3608924,-2.621,22.049,-1,-1,0.6128552102829642,-5.728771756992439,Before Launch
67,2025-03-19 23:16:01,39.357,0.23950132,-0.241,22.052,-1,-1,0.6192136864734026,-5.728898542321049,Before Launch
68,2025-03-19 23:16:01,39.859,-0.01312336,-0.503,22.042,-1,-1,0.6244492165600318,-5.791379025958997,Before Launch
69,2025-03-19 23:16:02,40.361,-0.13451444,-0.242,22.044,-1,-1,0.6473334586632494,-5.733448802585121,Before Launch
70,2025-03-19 23:16:03,41.265,0.71194228,0.936,22.042,-1,-1,0.6295294998390328,-5.715653757122912,Before Launch
71,2025-03-19 23:16:03,41.773,0.47900264,-0.459,22.047,-1,-1,0.6322089815277742,-5.750377030967362,Before Launch
72,2025-03-19 23:16:04,42.275,-0.84645672,-2.64,22.052,-1,-1,0.6251036749987906,-5.731291598000058,Before Launch
73,2025-03-19 23:16:04,42.778,-0.49540683999999996,0.698,22.044,-1,-1,0.6328444585040206,-5.705298674877281,Before Launch
74,2025-03-19 23:16:05,43.283,0.11811023999999999,1.215,22.047,-1,-1,0.5918455888371891,-5.7075411399623315,Before Launch
75,2025-03-19 23:16:06,44.187,0.3608924,0.269,22.047,-1,-1,0.5841950855987629,-5.67583049408247,Before Launch
76,2025-03-19 23:16:06,44.689,0.83989504,0.954,22.049,-1,-1,0.6016878935173267,-5.739915134122651,Before Launch
77,2025-03-19 23:16:07,45.192,-0.36417324,-2.394,22.042,-1,-1,0.6136108049574269,-5.745920752332894,Before Launch
78,2025-03-19 23:16:07,45.694,2.15879272,5.026,22.042,-1,-1,0.619135452535478,-5.741905874413139,Before Launch
79,2025-03-19 23:16:08,46.197,0.34776904,-3.6,22.037,-1,-1,0.5906499781120224,-5.731508388946389,Before Launch
80,2025-03-19 23:16:09,47.099,-0.37401576000000003,-0.8,22.042,-1,-1,0.5699089097299497,-5.746845914822333,Before Launch
81,2025-03-19 23:16:09,47.602,-0.24278216,0.261,22.047,-1,-1,0.6242748294203462,-5.711030018778427,Before Launch
82,2025-03-19 23:16:10,48.108,1.3123360000000002,3.073,22.042,-1,-1,0.6163069704785685,-5.728038898293196,Before Launch
83,2025-03-19 23:16:10,48.61,0.34776904,-1.921,22.044,-1,-1,0.593537770987146,-5.739482345073494,Before Launch
84,2025-03-19 23:16:11,49.112,0.10826772,-0.477,22.042,-1,-1,0.6267235022894562,-5.702302848451981,Before Launch
