n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Yaw (°),Flag
0,2025-05-03 22:04:25,0.004,2.51640428,,32.394,-1,-1,0.0,0.0,0.0,Before Launch
1,2025-05-03 22:04:25,0.046,3.25787412,,32.394,-1,-1,0.0,0.0,0.0,Before Launch
2,2025-05-03 22:04:25,0.089,2.51640428,,32.394,-1,-1,0.0,0.0,0.0,Before Launch
3,2025-05-03 22:04:25,0.131,3.4875329199999996,,32.389,-1,-1,0.0,0.0,0.0,Before Launch
4,2025-05-03 22:04:25,0.174,3.00524944,,32.391,-1,-1,0.0,0.0,0.0,Before Launch
5,2025-05-03 22:04:25,0.217,3.00524944,,32.391,-1,-1,0.0,0.0,0.0,Before Launch
6,2025-05-03 22:04:25,0.259,2.1489502000000003,,32.394,-1,-1,0.0,0.0,0.0,Before Launch
7,2025-05-03 22:04:26,0.302,2.8871392,,32.391,-1,-1,0.0,0.0,0.0,Before Launch
8,2025-05-03 22:04:26,0.345,2.74606308,,32.389,0.0,0.0,0.0,0.0,0.0,Before Launch
9,2025-05-03 22:04:26,0.387,3.99606312,,32.394,0.0,0.0,0.0,0.0,0.0,Before Launch
10,2025-05-03 22:04:26,0.43,2.63779536,,32.391,0.0,0.0,0.0,0.0,0.0,Before Launch
11,2025-05-03 22:04:26,0.472,3.1167979999999997,,32.389,0.0,0.0,0.0,0.0,0.0,Before Launch
12,2025-05-03 22:04:26,0.514,3.25787412,,32.394,0.0,0.0,0.0,0.0,0.0,Before Launch
13,2025-05-03 22:04:26,0.557,2.9855644,,32.384,0.0,0.0,0.0,0.0,0.0,Before Launch
14,2025-05-03 22:04:26,0.599,2.63779536,,32.391,0.0,0.0,0.0,0.0,0.0,Before Launch
15,2025-05-03 22:04:26,0.642,3.2349082399999998,,32.386,0.0,0.0,0.0,0.0,0.0,Before Launch
16,2025-05-03 22:04:26,0.684,2.74606308,,32.389,0.0,0.0,0.0,0.0,0.0,Before Launch
17,2025-05-03 22:04:26,0.727,3.84186364,,32.386,0.0,0.0,0.0,0.0,0.0,Before Launch
18,2025-05-03 22:04:26,0.769,2.61482948,,32.384,0.0,0.0,0.0,0.0,0.0,Before Launch
19,2025-05-03 22:04:26,0.812,3.00524944,,32.391,0.0,0.0,0.0,0.0,0.0,Before Launch
20,2025-05-03 22:04:26,0.855,3.1167979999999997,,32.391,0.0,0.0,0.0,0.0,0.0,Before Launch
21,2025-05-03 22:04:26,0.897,3.1167979999999997,,32.389,0.0,0.0,0.0,0.0,0.0,Before Launch
22,2025-05-03 22:04:26,0.94,2.9855644,,32.384,0.0,0.0,0.0,0.0,0.0,Before Launch
23,2025-05-03 22:04:26,0.982,2.9855644,,32.384,0.0,0.0,0.0,0.0,0.0,Before Launch
24,2025-05-03 22:04:26,1.025,3.7237534,,32.384,0.0,0.0,1.3440846504822275,-1.3161244181945664,1.741351865726922,Before Launch
25,2025-05-03 22:04:26,1.068,4.071522440000001,1.462,32.376,0.0,0.0,13.491228213882513,-13.532393035465189,15.768598331527443,Before Launch
26,2025-05-03 22:04:26,1.112,3.1167979999999997,-0.132,32.389,0.0,0.0,20.36840699130571,-20.65345331207507,23.127285658121775,Before Launch
27,2025-05-03 22:04:26,1.156,4.58333348,1.937,32.381,0.0,0.0,27.897335988337453,-6.314305387978137,7.539645389831693,Before Launch
28,2025-05-03 22:04:26,1.198,4.34383216,0.803,32.386,0.0,0.0,30.131833506635502,-2.067414298576476,2.7529801968666376,Before Launch
29,2025-05-03 22:04:26,1.241,3.21194236,0.194,32.386,0.0,0.0,31.688638412238355,3.097342128480888,-3.7137040307797315,Before Launch
30,2025-05-03 22:04:27,1.284,3.10367464,0.092,32.381,0.0,0.0,31.861797324625982,4.7650248185229795,-5.9746561184265,Before Launch
31,2025-05-03 22:04:27,1.335,3.10367464,0.887,32.381,0.0,0.0,31.99460644213934,7.255925687627248,-9.426481720011848,Before Launch
32,2025-05-03 22:04:27,1.378,2.49671924,-0.363,32.386,0.0,0.0,31.118849444190882,8.643137061696908,-11.990164872301873,Before Launch
33,2025-05-03 22:04:27,1.421,2.24409456,-0.467,32.384,0.0,0.0,30.38578193113118,9.116129918664909,-13.358537304807143,Before Launch
34,2025-05-03 22:04:27,1.463,3.3530184800000002,-0.598,32.384,0.0,0.0,29.28564061954158,9.857526246238326,-16.00232573141441,Before Launch
35,2025-05-03 22:04:27,1.505,2.3622047999999998,-0.256,32.381,0.0,0.0,28.999075824763544,10.153381756064185,-17.068258086167976,Before Launch
36,2025-05-03 22:04:27,1.548,3.47440956,0.332,32.379,0.0,0.0,28.46074225519382,10.748393837630838,-18.7630053098203,Before Launch
37,2025-05-03 22:04:27,1.59,3.7237534,0.433,32.384,0.0,0.0,28.39461437544643,11.00919587821422,-19.13602755278991,Before Launch
38,2025-05-03 22:04:27,1.633,3.9534122000000003,0.899,32.379,0.0,0.0,28.821563813719674,11.289470263494286,-19.110156186964733,Before Launch
39,2025-05-03 22:04:27,1.675,4.09448832,1.354,32.384,0.0,0.0,29.06634781616034,11.402987912926337,-19.172839881566574,Before Launch
40,2025-05-03 22:04:27,1.717,3.3530184800000002,0.11,32.384,0.0,0.0,29.46204410803326,11.82462627961081,-19.826288985097378,Before Launch
41,2025-05-03 22:04:27,1.761,3.47440956,0.676,32.381,0.0,0.0,29.94551395393622,11.912005662196009,-20.26093730584387,Before Launch
42,2025-05-03 22:04:27,1.803,4.46522324,0.579,32.384,0.0,0.0,30.83077997308635,12.058334358659483,-20.87007291721346,Before Launch
43,2025-05-03 22:04:27,1.845,2.73293972,0.11,32.381,0.0,0.0,30.959422482097366,11.929967359799377,-21.070426154199016,Before Launch
44,2025-05-03 22:04:27,1.893,3.8221786,0.756,32.379,0.0,0.0,32.05407302703933,12.02463595039231,-21.821835094882374,Before Launch
45,2025-05-03 22:04:27,1.938,3.84186364,0.669,32.381,0.0,0.0,32.79580490443161,11.722227416241997,-22.44428915120764,Before Launch
