n,Datetime (UTC),Timestamp (s),Altitude (m),Temperature (C),Longitude,Latitude,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Flag
0,2025-02-21 23:02:00,0.608,-0.111,24.661,-119.74992716666667,36.81429883333333,-0.0048828125,-0.532958984375,-0.792236328125,Before Launch
1,2025-02-21 23:02:01,1.609,-0.055,24.666,-119.74992883333333,36.8142965,0.002197265625,-0.52685546875,-0.790771484375,Before Launch
2,2025-02-21 23:02:02,2.61,0.088,24.651,-119.7499295,36.814296166666665,-0.000244140625,-0.52685546875,-0.801025390625,Before Launch
3,2025-02-21 23:02:03,3.61,-0.045,24.663,-119.74992333333333,36.814288,0.014404296875,-0.5322265625,-0.79541015625,Before Launch
4,2025-02-21 23:02:04,4.61,-0.368,24.658,-119.74992216666666,36.8142855,-0.004150390625,-0.52880859375,-0.77587890625,Before Launch
5,2025-02-21 23:02:05,5.611,0.172,24.653,-1,-1,0.004638671875,-0.52587890625,-0.7890625,Before Launch
6,2025-02-21 23:02:06,6.61,-0.128,24.668,-119.74991866666667,36.8142785,-0.189697265625,-0.72607421875,-0.818359375,Before Launch
7,2025-02-21 23:02:07,7.611,-0.151,24.658,-119.74991683333333,36.814272,0.040283203125,-0.940185546875,-0.2392578125,Before Launch
8,2025-02-21 23:02:08,8.609,-0.045,24.658,-119.74992566666667,36.814281666666666,-0.486328125,-1.013916015625,-0.164306640625,Before Launch
9,2025-02-21 23:02:09,9.609,0.589,24.658,-119.7499475,36.814275,-0.660400390625,-0.721435546875,0.75341796875,Before Launch
10,2025-02-21 23:02:10,10.61,1.249,24.651,-1,-1,-0.32080078125,-0.1865234375,1.061279296875,Before Launch
11,2025-02-21 23:02:11,11.608,1.227,24.663,-119.74997766666667,36.81426233333333,-0.226318359375,-0.378662109375,0.98681640625,Before Launch
12,2025-02-21 23:02:12,12.61,1.522,24.653,-119.749991,36.814262,-0.162353515625,-0.228759765625,1.147705078125,Before Launch
13,2025-02-21 23:02:13,13.611,1.674,24.648,-119.74999633333333,36.814261333333334,0.120361328125,-0.169189453125,0.893798828125,Before Launch
14,2025-02-21 23:02:14,14.611,2.081,24.648,-119.74999466666667,36.8142665,0.068115234375,-0.515869140625,0.940673828125,Before Launch
15,2025-02-21 23:02:15,15.61,2.154,24.643,-1,-1,0.047607421875,-0.512939453125,0.99658203125,Before Launch
16,2025-02-21 23:02:16,16.611,2.191,24.643,-119.75000733333333,36.814269833333334,0.058837890625,-0.2587890625,0.6396484375,Before Launch
17,2025-02-21 23:02:17,17.611,1.407,24.651,-119.75000383333334,36.8142625,0.0029296875,0.309814453125,1.09130859375,Before Launch
18,2025-02-21 23:02:18,18.609,1.065,24.648,-119.74999983333333,36.81425483333334,-0.263916015625,0.478759765625,1.031494140625,Before Launch
19,2025-02-21 23:02:19,19.611,0.93,24.648,-119.74999016666666,36.814257833333336,0.15380859375,0.29248046875,0.854736328125,Before Launch
20,2025-02-21 23:02:20,20.611,0.417,24.636,-1,-1,0.10498046875,-0.0048828125,0.989013671875,Before Launch
21,2025-02-21 23:02:21,21.611,0.514,24.643,-119.74998516666666,36.8142645,0.094970703125,0.129638671875,1.097412109375,Before Launch
22,2025-02-21 23:02:22,22.608,0.287,24.636,-119.74998083333334,36.81426533333333,0.099365234375,0.137939453125,1.082763671875,Before Launch
23,2025-02-21 23:02:23,23.611,0.339,24.641,-119.74997816666666,36.814271166666664,0.098388671875,0.1337890625,1.097900390625,Before Launch
24,2025-02-21 23:02:24,24.611,0.398,24.631,-119.74997166666667,36.814269333333336,0.095703125,0.137451171875,1.095458984375,Before Launch
