n,Datetime (UTC),Timestamp (s),Altitude (m),Temperature (C),Longitude,Latitude,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Flag
0,2025-02-22 09:17:28,0.529,2.202,15.532,-1,-1,-0.109375,0.60302734375,0.91552734375,Before Launch
1,2025-02-22 09:17:29,1.457,2.172,15.532,-117.795838,35.1047015,-0.103271484375,0.63427734375,0.90087890625,During Launch
2,2025-02-22 09:17:29,2.055,1.998,15.534,-1,-1,-0.051513671875,0.6552734375,0.888427734375,During Launch
3,2025-02-22 09:17:30,2.646,2.319,15.534,-1,-1,-0.056396484375,0.623291015625,0.896484375,During Launch
4,2025-02-22 09:17:31,3.457,1.942,15.537,-117.79583666666667,35.104704,-0.03857421875,0.615966796875,0.899169921875,During Launch
5,2025-02-22 09:17:32,4.447,1.879,15.532,-1,-1,-0.02783203125,0.6064453125,0.9228515625,During Launch
6,2025-02-22 09:17:32,5.05,2.203,15.547,-1,-1,-0.020751953125,0.681884765625,0.896484375,During Launch
7,2025-02-22 09:17:33,5.659,1.987,15.559,-1,-1,-0.03271484375,0.61865234375,0.91064453125,During Launch
8,2025-02-22 09:17:34,6.447,1.908,15.539,-117.79583816666667,35.10470816666667,-0.0166015625,0.73046875,0.888916015625,During Launch
9,2025-02-22 09:17:34,7.049,1.905,15.544,-1,-1,-0.028076171875,0.599853515625,0.927001953125,During Launch
10,2025-02-22 09:17:35,8.058,1.952,15.537,-1,-1,-0.044677734375,0.6357421875,0.88037109375,During Launch
11,2025-02-22 09:17:36,8.646,2.214,15.529,-1,-1,-0.010009765625,0.657958984375,0.864501953125,During Launch
12,2025-02-22 09:17:37,9.453,2.106,15.517,-117.79583766666667,35.10470883333333,-0.01220703125,0.6162109375,0.92236328125,During Launch
13,2025-02-22 09:17:37,10.056,2.082,15.519,-1,-1,-0.022705078125,0.67041015625,0.88818359375,During Launch
14,2025-02-22 09:17:38,10.645,1.871,15.534,-1,-1,-0.01025390625,0.64892578125,0.890869140625,After Launch
