n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Yaw (°),Flag
0,2025-05-03 22:24:34,0.004,-0.36745408,,33.09,-1,-1,0.0,0.0,0.0,Before Launch
1,2025-05-03 22:24:34,0.046,-0.4757218,,33.082,-1,-1,0.0,0.0,0.0,Before Launch
2,2025-05-03 22:24:34,0.089,0.27559056000000004,,33.09,-1,-1,0.0,0.0,0.0,Before Launch
3,2025-05-03 22:24:34,0.131,-0.34448819999999997,,33.087,-1,-1,0.0,0.0,0.0,Before Launch
4,2025-05-03 22:24:34,0.173,-0.69225724,,33.095,-1,-1,0.0,0.0,0.0,Before Launch
5,2025-05-03 22:24:34,0.216,-0.71522312,,33.087,-1,-1,0.0,0.0,0.0,Before Launch
6,2025-05-03 22:24:34,0.258,-0.21325460000000002,,33.092,-1,-1,0.0,0.0,0.0,Before Launch
7,2025-05-03 22:24:34,0.3,-0.34448819999999997,,33.087,-1,-1,0.0,0.0,0.0,Before Launch
8,2025-05-03 22:24:34,0.343,0.27559056000000004,,33.09,-1,-1,0.0,0.0,0.0,Before Launch
9,2025-05-03 22:24:34,0.385,-0.71522312,,33.087,-1,-1,0.0,0.0,0.0,Before Launch
10,2025-05-03 22:24:34,0.427,-1.8241470400000002,,33.087,-1,-1,0.0,0.0,0.0,Before Launch
11,2025-05-03 22:24:34,0.47,-0.34448819999999997,,33.087,-1,-1,0.0,0.0,0.0,Before Launch
12,2025-05-03 22:24:35,0.512,-0.09186352,,33.09,-1,-1,0.0,0.0,0.0,Before Launch
13,2025-05-03 22:24:35,0.554,0.64632548,,33.09,0.0,0.0,0.0,0.0,0.0,Before Launch
14,2025-05-03 22:24:35,0.597,-1.69291344,,33.092,0.0,0.0,0.0,0.0,0.0,Before Launch
15,2025-05-03 22:24:35,0.639,0.049212599999999995,,33.095,0.0,0.0,0.0,0.0,0.0,Before Launch
16,2025-05-03 22:24:35,0.681,-1.5748031999999998,,33.09,0.0,0.0,0.0,0.0,0.0,Before Launch
17,2025-05-03 22:24:35,0.723,-0.22637796000000002,,33.085,0.0,0.0,0.0,0.0,0.0,Before Launch
18,2025-05-03 22:24:35,0.766,-0.32152232000000003,,33.092,0.0,0.0,0.0,0.0,0.0,Before Launch
19,2025-05-03 22:24:35,0.808,-0.69225724,,33.095,0.0,0.0,0.0,0.0,0.0,Before Launch
20,2025-05-03 22:24:35,0.85,0.049212599999999995,,33.095,0.0,0.0,0.0,0.0,0.0,Before Launch
21,2025-05-03 22:24:35,0.893,0.64632548,,33.09,0.0,0.0,0.0,0.0,0.0,Before Launch
22,2025-05-03 22:24:35,0.935,-0.9514436,,33.092,0.0,0.0,0.0,0.0,0.0,Before Launch
23,2025-05-03 22:24:35,0.978,-0.34448819999999997,,33.087,0.0,0.0,0.0,0.0,0.0,Before Launch
24,2025-05-03 22:24:35,1.021,-0.9514436,,33.092,0.0,0.0,6.851424012820945,-6.856707346907631,6.81443824948511,Before Launch
25,2025-05-03 22:24:35,1.063,-0.46259843999999994,-0.09,33.09,0.0,0.0,14.997892520330982,-15.013534314495143,14.967129612770538,Before Launch
26,2025-05-03 22:24:35,1.113,-1.43372708,-0.898,33.095,0.0,0.0,28.443121344309443,-28.468075657909502,28.42697960583793,Before Launch
27,2025-05-03 22:24:35,1.157,-0.34448819999999997,-0.581,33.087,0.0,0.0,-24.7231037100196,-16.6884832400291,100.61988582593533,Before Launch
28,2025-05-03 22:24:35,1.202,0.41994752,0.714,33.095,0.0,0.0,-41.08977165948566,-12.873575022775675,122.87677244742014,Before Launch
29,2025-05-03 22:24:35,1.244,-0.21325460000000002,0.447,33.092,0.0,0.0,-61.34908557971188,-8.045618942389837,150.51754535064822,Before Launch
30,2025-05-03 22:24:35,1.287,-0.81036748,-0.089,33.097,0.0,0.0,-67.53141912946319,-6.629559708439226,158.84711040071153,Before Launch
31,2025-05-03 22:24:35,1.329,0.37401576000000003,0.548,33.08,0.0,0.0,-74.99807742344149,-4.89393689973078,169.04158150579886,Before Launch
32,2025-05-03 22:24:35,1.372,0.76771656,1.038,33.087,0.0,0.0,-77.24970667004001,-4.3676328166608105,172.09901778476404,Before Launch
33,2025-05-03 22:24:35,1.414,0.51509188,0.224,33.085,0.0,0.0,-80.0050751456224,-3.689914480864361,175.86900374624565,Before Launch
34,2025-05-03 22:24:35,1.457,-0.59383204,0.113,33.085,0.0,0.0,-80.83114608511315,-3.5046393640623275,177.00245055516467,Before Launch
35,2025-05-03 22:24:36,1.499,-0.58070868,1.16,33.092,0.0,0.0,-81.81445879767918,-3.252323913983091,178.3616589837242,Before Launch
36,2025-05-03 22:24:36,1.542,1.13517064,1.38,33.087,0.0,0.0,-82.12250359008404,-3.151630242719534,178.76229240889205,Before Launch
37,2025-05-03 22:24:36,1.592,-0.46259843999999994,-0.343,33.09,0.0,0.0,-82.50796922477483,-2.9859693489489594,179.2912882410399,Before Launch
38,2025-05-03 22:24:36,1.635,-0.32152232000000003,-0.895,33.085,0.0,0.0,-82.67719770571847,-2.888267685239939,179.54374179703566,Before Launch
39,2025-05-03 22:24:36,1.679,-0.21325460000000002,1.368,33.092,0.0,0.0,-82.72770230811491,-2.884822103498407,179.6329526021696,Before Launch
40,2025-05-03 22:24:36,1.721,-0.09186352,-0.13,33.09,0.0,0.0,-82.80637992222418,-2.9198402387266706,179.7252842992283,Before Launch
41,2025-05-03 22:24:36,1.764,-1.42060372,0.142,33.095,0.0,0.0,-82.79842271883987,-2.9352960014337985,179.7580330355999,Before Launch
42,2025-05-03 22:24:36,1.806,-0.46259843999999994,-0.218,33.09,0.0,0.0,-82.84150112604742,-2.960150457887093,179.7870007411655,Before Launch
43,2025-05-03 22:24:36,1.849,-0.59383204,-0.251,33.085,0.0,0.0,-82.86533425115115,-2.967343673460871,179.79851171850044,Before Launch
44,2025-05-03 22:24:36,1.891,-0.22637796000000002,0.43,33.085,0.0,0.0,-82.86305224398247,-2.9626591686095227,179.80429252395348,Before Launch
45,2025-05-03 22:24:36,1.934,0.02624672,-0.021,33.087,0.0,0.0,-82.8548787894257,-2.932893967107552,179.81572344131948,Before Launch
46,2025-05-03 22:24:36,1.976,0.02624672,-0.573,33.087,0.0,0.0,-82.85963426063059,-2.8891821837177587,179.81182457384313,Before Launch
47,2025-05-03 22:24:36,2.018,-0.84645672,0.097,33.082,0.0,0.0,-82.88210828111573,-2.8851056092187592,179.83078635797034,Before Launch
48,2025-05-03 22:24:36,2.061,0.27559056000000004,0.573,33.095,0.0,0.0,-82.87287793765883,-2.8549571287933486,179.84403488557348,Before Launch
49,2025-05-03 22:24:36,2.103,-0.59383204,0.331,33.085,0.0,0.0,-82.89752294436202,-2.8124217323388843,179.8468365182547,Before Launch
50,2025-05-03 22:24:36,2.145,-0.34448819999999997,0.109,33.087,0.0,0.0,-82.87690454679418,-2.799272083563549,179.85861922477707,Before Launch
51,2025-05-03 22:24:36,2.188,0.14435695999999998,1.468,33.085,0.0,0.0,-82.905211632793,-2.7900274681867083,179.86613295053482,Before Launch
52,2025-05-03 22:24:36,2.23,-0.69225724,-0.324,33.095,0.0,0.0,-82.94885894512582,-2.8080728390008547,179.8442401675612,Before Launch
53,2025-05-03 22:24:36,2.272,-0.69225724,-1.039,33.095,0.0,0.0,-82.9569370343645,-2.8321771050329327,179.82980567373326,Before Launch
54,2025-05-03 22:24:36,2.315,0.39698163999999997,0.57,33.087,0.0,0.0,-82.94274292390459,-2.823695890158315,179.83632388005338,Before Launch
55,2025-05-03 22:24:36,2.357,0.29855644,1.036,33.097,0.0,0.0,-82.92827421715745,-2.8245674973443617,179.84481007840563,Before Launch
56,2025-05-03 22:24:36,2.399,0.049212599999999995,-0.304,33.095,0.0,0.0,-82.93481746792416,-2.85927257338749,179.86796745519547,Before Launch
57,2025-05-03 22:24:36,2.442,-0.09186352,-0.803,33.09,0.0,0.0,-82.93767257146274,-2.879110872688738,179.85320403868917,Before Launch
58,2025-05-03 22:24:37,2.484,-0.10498688,-0.58,33.082,0.0,0.0,-82.88828284271841,-2.868971912484383,179.8507264237713,Before Launch
59,2025-05-03 22:24:37,2.526,0.02624672,0.58,33.092,0.0,0.0,-82.89432698984353,-2.799087520269277,179.85394889877162,Before Launch
60,2025-05-03 22:24:37,2.569,0.15748032,0.69,33.092,0.0,0.0,-82.9025195490714,-2.718185167570537,179.86529717498144,Before Launch
61,2025-05-03 22:24:37,2.611,1.2696850800000001,0.126,33.092,0.0,0.0,-82.91146055091136,-2.6732758328166493,179.8722579651259,Before Launch
62,2025-05-03 22:24:37,2.661,0.52821524,0.927,33.092,0.0,0.0,-82.90479597903091,-2.6297428897160877,179.87801962093005,Before Launch
63,2025-05-03 22:24:37,2.705,0.1804462,0.469,33.1,0.0,0.0,-82.88916136441546,-2.594493239375875,179.87658038712453,Before Launch
64,2025-05-03 22:24:37,2.747,-0.43963256,-0.212,33.097,0.0,0.0,-82.89329580785349,-2.622106684878047,179.86218309243228,Before Launch
65,2025-05-03 22:24:37,2.789,-0.46259843999999994,-0.347,33.09,0.0,0.0,-82.89914523293191,-2.6050970955465966,179.82894208296594,Before Launch
66,2025-05-03 22:24:37,2.832,-1.69291344,-0.255,33.092,0.0,0.0,-82.87394235027266,-2.6112914144762245,179.84289603953872,Before Launch
67,2025-05-03 22:24:37,2.874,-0.21325460000000002,0.233,33.092,0.0,0.0,-82.8670871125683,-2.6721322546453026,179.83422889627053,Before Launch
68,2025-05-03 22:24:37,2.916,-0.09186352,0.47,33.09,0.0,0.0,-82.86810093941457,-2.688336784887929,179.8308249574788,Before Launch
69,2025-05-03 22:24:37,2.959,-1.20406828,-0.915,33.09,0.0,0.0,-82.8698163064155,-2.675157006936024,179.8223459732642,Before Launch
70,2025-05-03 22:24:37,3.001,-0.43963256,-0.437,33.092,0.0,0.0,-82.9068130570774,-2.682092056897795,179.8270146128984,Before Launch
71,2025-05-03 22:24:37,3.043,0.52821524,0.47,33.092,0.0,0.0,-82.89802033668708,-2.7587072444882983,179.816153040396,Before Launch
72,2025-05-03 22:24:37,3.086,0.15748032,0.94,33.092,0.0,0.0,-82.89220281081022,-2.798600145722437,179.81258656426,Before Launch
73,2025-05-03 22:24:37,3.128,1.38779532,1.042,33.09,0.0,0.0,-82.9134336278273,-2.835091188239154,179.80926830754214,Before Launch
74,2025-05-03 22:24:37,3.17,0.41994752,0.95,33.095,0.0,0.0,-82.91392845868118,-2.872980243069051,179.79533448955522,Before Launch
