n,Datetime (UTC),Timestamp (s),Altitude (m),Temperature (C),Longitude,Latitude,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Flag
0,2025-02-22 09:52:56,0.536,1.912,22.187,-1,-1,-0.280029296875,-0.418212890625,-0.79638671875,Before Launch
1,2025-02-22 09:52:57,1.176,1.775,22.199,-1,-1,-0.18359375,-0.311279296875,-0.784912109375,During Launch
2,2025-02-22 09:52:58,2.103,1.638,22.179,-117.7958275,35.10469766666667,-0.220947265625,-0.2216796875,-0.836181640625,During Launch
3,2025-02-22 09:52:59,3.093,1.655,22.174,-117.79582716666667,35.10469716666667,-0.1826171875,-0.247314453125,-0.839599609375,During Launch
4,2025-02-22 09:53:00,4.102,1.662,22.152,-117.79582766666667,35.10469716666667,-0.243896484375,-0.1318359375,-0.854248046875,During Launch
5,2025-02-22 09:53:01,5.093,1.943,22.162,-1,-1,-0.252685546875,-0.144775390625,-0.844970703125,During Launch
6,2025-02-22 09:53:02,6.104,1.736,22.179,-117.79582716666667,35.1046965,-0.26220703125,-0.18505859375,-0.89404296875,During Launch
7,2025-02-22 09:53:03,7.094,1.803,22.159,-117.79582633333334,35.10469583333333,-0.27001953125,-0.172607421875,-0.872314453125,During Launch
8,2025-02-22 09:53:04,8.103,1.525,22.152,-117.79582583333334,35.104696,-0.26806640625,-0.157958984375,-0.903564453125,During Launch
9,2025-02-22 09:53:05,9.093,1.724,22.146,-117.7958245,35.10469583333333,-0.238037109375,-0.150146484375,-0.88134765625,During Launch
10,2025-02-22 09:53:06,10.1,1.695,22.152,-1,-1,-0.264892578125,-0.1142578125,-0.8486328125,During Launch
11,2025-02-22 09:53:07,11.096,1.658,22.156,-117.79582316666666,35.10469466666667,-0.25244140625,-0.102783203125,-0.877685546875,During Launch
12,2025-02-22 09:53:08,12.101,1.584,22.146,-117.79582283333333,35.10469416666667,-0.248291015625,-0.09814453125,-0.88134765625,During Launch
13,2025-02-22 09:53:09,13.094,1.724,22.139,-117.7958225,35.10469366666667,-0.27490234375,-0.1142578125,-0.87158203125,During Launch
14,2025-02-22 09:53:10,14.104,1.69,22.129,-117.7958225,35.1046935,-0.242431640625,-0.1015625,-0.880859375,During Launch
15,2025-02-22 09:53:11,15.094,1.549,22.129,-1,-1,-0.22509765625,-0.121337890625,-0.87841796875,During Launch
16,2025-02-22 09:53:12,16.102,1.688,22.139,-117.79582216666667,35.10469333333333,-0.218505859375,-0.132568359375,-0.8564453125,During Launch
17,2025-02-22 09:53:13,17.094,1.546,22.134,-117.79582216666667,35.104693833333336,-0.205322265625,-0.12158203125,-0.823486328125,During Launch
18,2025-02-22 09:53:14,18.103,1.227,22.146,-117.79582216666667,35.1046905,0.271728515625,-0.8974609375,0.828369140625,During Launch
19,2025-02-22 09:53:15,19.094,0.32,22.079,-117.795824,35.10469,0.34912109375,0.08056640625,1.3203125,During Launch
20,2025-02-22 09:53:16,20.102,-0.2,22.072,-1,-1,0.169189453125,0.00244140625,1.1474609375,During Launch
21,2025-02-22 09:53:17,21.091,-0.208,22.064,-117.79582616666667,35.10469033333333,0.15966796875,0.2333984375,1.052490234375,During Launch
22,2025-02-22 09:53:18,22.101,-0.157,22.037,-117.79582616666667,35.1046905,0.08056640625,-0.541015625,-0.73583984375,During Launch
23,2025-02-22 09:53:19,23.092,-0.206,22.022,-117.79582633333334,35.104690833333336,-0.0029296875,-0.198486328125,-0.92724609375,During Launch
24,2025-02-22 09:53:20,24.107,0.068,22.022,-117.79582616666667,35.10468733333333,-0.005615234375,-0.1826171875,-0.89990234375,During Launch
25,2025-02-22 09:53:21,25.093,-0.262,21.997,-1,-1,-0.0146484375,-0.152099609375,-0.947021484375,During Launch
26,2025-02-22 09:53:22,26.102,-0.048,21.997,-117.79582416666666,35.104686,-0.0390625,-0.17626953125,-0.903564453125,During Launch
27,2025-02-22 09:53:23,27.094,-0.112,21.979,-117.79582383333333,35.10468516666667,-0.03515625,-0.173828125,-0.903564453125,During Launch
28,2025-02-22 09:53:24,28.099,-0.238,21.982,-117.79582416666666,35.10468483333333,-0.049072265625,-0.16943359375,-0.889404296875,During Launch
29,2025-02-22 09:53:25,29.094,-0.194,21.979,-117.795824,35.10468516666667,-0.03662109375,-0.16748046875,-0.89892578125,After Launch
