n,Datetime (UTC),Timestamp (s),Altitude (m),Temperature (C),Longitude,Latitude,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Flag
50,2025-02-21 15:18:10,59.291,-0.031,26.452,-1,-1,0.125732421875,-0.00927734375,1.107421875,Before Launch
51,2025-02-21 15:18:11,60.377,0.01,26.452,-1,-1,0.131103515625,-0.013916015625,1.097900390625,Before Launch
52,2025-02-21 15:18:12,61.463,0.028,26.452,-1,-1,0.13330078125,-0.009033203125,1.103515625,Before Launch
53,2025-02-21 15:18:13,62.549,-0.005,26.452,-1,-1,0.128662109375,-0.011962890625,1.0927734375,Before Launch
54,2025-02-21 15:18:14,63.635,-0.254,26.452,-1,-1,0.13134765625,-0.013427734375,1.095947265625,Before Launch
55,2025-02-21 15:18:16,65.121,-0.228,26.452,-1,-1,0.133056640625,-0.009765625,1.107666015625,Before Launch
56,2025-02-21 15:18:17,66.207,-0.079,26.457,-1,-1,0.133544921875,-0.0048828125,1.105224609375,Before Launch
57,2025-02-21 15:18:18,67.293,-0.444,26.457,-1,-1,0.1259765625,-0.01171875,1.102783203125,Before Launch
58,2025-02-21 15:18:19,68.379,-0.172,26.439,-1,-1,0.1318359375,-0.015625,1.083984375,Before Launch
59,2025-02-21 15:18:20,69.465,-0.335,26.442,-1,-1,0.137451171875,-0.011962890625,1.1064453125,Before Launch
60,2025-02-21 15:18:22,70.951,0.026,26.442,-1,-1,0.139404296875,-0.0107421875,1.091796875,Before Launch
61,2025-02-21 15:18:23,72.037,0.088,26.437,-1,-1,0.139892578125,-0.0146484375,1.1044921875,Before Launch
62,2025-02-21 15:18:24,73.123,-0.066,26.444,-1,-1,0.129638671875,-0.010009765625,1.095947265625,Before Launch
63,2025-02-21 15:18:25,74.209,-0.376,26.447,-1,-1,0.1357421875,-0.014892578125,1.101318359375,Before Launch
64,2025-02-21 15:18:26,75.295,-0.163,26.444,-1,-1,0.12744140625,-0.011474609375,1.09765625,Before Launch
65,2025-02-21 15:18:28,76.781,-0.02,26.437,-1,-1,0.134521484375,-0.009765625,1.102783203125,Before Launch
66,2025-02-21 15:18:29,77.867,-0.418,26.444,-1,-1,0.14599609375,-0.010009765625,1.10107421875,Before Launch
67,2025-02-21 15:18:30,78.953,0.074,26.432,-1,-1,0.13134765625,-0.0107421875,1.10009765625,Before Launch
68,2025-02-21 15:18:31,80.039,-0.038,26.437,-1,-1,0.1328125,-0.01220703125,1.10205078125,Before Launch
69,2025-02-21 15:18:32,81.125,-0.225,26.439,-1,-1,0.12841796875,-0.0107421875,1.09619140625,Before Launch
70,2025-02-21 15:18:33,82.611,-0.113,26.439,-1,-1,0.13330078125,-0.006591796875,1.10302734375,Before Launch
71,2025-02-21 15:18:34,83.697,-0.325,26.427,-1,-1,0.162353515625,-0.01611328125,1.11474609375,Before Launch
72,2025-02-21 15:18:36,84.783,-0.005,26.439,-1,-1,0.126953125,-0.013427734375,1.101318359375,Before Launch
73,2025-02-21 15:18:37,85.869,-0.315,26.434,-1,-1,0.13037109375,-0.00830078125,1.102294921875,Before Launch
74,2025-02-21 15:18:38,86.955,-0.108,26.439,-1,-1,0.126708984375,-0.010498046875,1.101318359375,Before Launch
75,2025-02-21 15:18:39,88.441,-0.169,26.439,-1,-1,0.128173828125,-0.008056640625,1.101318359375,Before Launch
76,2025-02-21 15:18:40,89.527,-0.2,26.439,-1,-1,0.131591796875,-0.01025390625,1.091064453125,Before Launch
77,2025-02-21 15:18:41,90.613,-0.176,26.452,-1,-1,0.131591796875,-0.009521484375,1.10107421875,Before Launch
78,2025-02-21 15:18:42,91.699,-0.078,26.447,-1,-1,0.133056640625,-0.01025390625,1.10400390625,Before Launch
79,2025-02-21 15:18:44,92.785,-0.408,26.454,-1,-1,0.125732421875,-0.00927734375,1.100341796875,Before Launch
80,2025-02-21 15:18:45,94.271,-0.213,26.452,-1,-1,0.125732421875,-0.015869140625,1.10009765625,Before Launch
81,2025-02-21 15:18:46,95.357,-0.065,26.449,-1,-1,0.12841796875,-0.001220703125,1.10595703125,Before Launch
82,2025-02-21 15:18:47,96.443,-0.165,26.457,-1,-1,0.130615234375,-0.012939453125,1.081787109375,Before Launch
83,2025-02-21 15:18:48,97.529,-0.384,26.467,-1,-1,0.13134765625,-0.013427734375,1.10107421875,Before Launch
84,2025-02-21 15:18:49,98.615,-0.197,26.464,-1,-1,0.1318359375,-0.0087890625,1.1025390625,Before Launch
85,2025-02-21 15:18:51,100.101,-0.11,26.459,-1,-1,0.115478515625,-0.013916015625,1.095703125,Before Launch
86,2025-02-21 15:18:52,101.187,-0.434,26.464,-1,-1,0.129638671875,-0.013427734375,1.095458984375,Before Launch
