n,Datetime (UTC),Timestamp (s),Altitude (m),Temperature (C),Longitude,Latitude,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Flag
0,2025-02-21 15:27:57,0.986,-0.099,26.726,-1,-1,0.126220703125,-0.016357421875,1.082275390625,Before Launch
1,2025-02-21 15:27:58,2.072,0.124,26.726,-1,-1,0.12451171875,-0.01416015625,1.09814453125,Before Launch
2,2025-02-21 15:27:59,3.158,-0.014,26.734,-1,-1,0.125,-0.0068359375,1.095458984375,Before Launch
3,2025-02-21 15:28:00,4.245,0.148,26.744,-1,-1,0.12451171875,-0.012451171875,1.10595703125,Before Launch
4,2025-02-21 15:28:01,5.331,0.112,26.739,-1,-1,0.133544921875,-0.008544921875,1.080078125,Before Launch
