n,Datetime (UTC),Timestamp (s),Altitude (m),Temperature (C),Longitude,Latitude,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Flag
0,2025-02-22 02:18:48,0.659,0.042,20.059,-119.74989566666666,36.81425333333333,0.139892578125,0.974609375,-0.072021484375,Before Launch
1,2025-02-22 02:18:49,1.66,-0.189,20.061,-119.74989633333334,36.81426033333334,0.12158203125,0.9736328125,-0.0673828125,Before Launch
2,2025-02-22 02:18:50,2.659,-0.17,20.064,-119.749899,36.814262666666664,0.130615234375,0.978759765625,-0.06884765625,Before Launch
3,2025-02-22 02:18:51,3.66,-0.081,20.056,-119.74990733333334,36.81426916666667,0.123779296875,0.974853515625,-0.065673828125,Before Launch
4,2025-02-22 02:18:52,4.66,-0.234,20.054,-119.74990983333333,36.8142725,0.123779296875,0.975830078125,-0.068603515625,Before Launch
5,2025-02-22 02:18:53,5.661,-0.07,20.051,-1,-1,0.128662109375,0.973388671875,-0.067138671875,Before Launch
6,2025-02-22 02:18:54,6.661,-0.17,20.064,-119.7499035,36.814280333333336,0.12841796875,0.9736328125,-0.0693359375,Before Launch
7,2025-02-22 02:18:55,7.661,-0.269,20.051,-119.74990416666667,36.814274,0.12060546875,0.97705078125,-0.075927734375,Before Launch
8,2025-02-22 02:18:56,8.661,-0.21,20.061,-119.7498975,36.8142815,0.123046875,0.975341796875,-0.069091796875,Before Launch
9,2025-02-22 02:18:57,9.661,0.136,20.059,-119.7498975,36.81427266666667,0.1240234375,0.975341796875,-0.070556640625,Before Launch
10,2025-02-22 02:18:58,10.661,-0.164,20.051,-1,-1,0.121826171875,0.968994140625,-0.072021484375,Before Launch
11,2025-02-22 02:18:59,11.66,-0.068,20.061,-119.74988716666667,36.8142725,0.1171875,0.98486328125,-0.05615234375,Before Launch
12,2025-02-22 02:19:00,12.662,-0.179,20.051,-119.749882,36.814278,0.03515625,0.7958984375,-0.228759765625,Before Launch
13,2025-02-22 02:19:01,13.661,0.234,20.039,-119.74987716666666,36.8142765,-0.70556640625,0.29248046875,-0.558837890625,Before Launch
14,2025-02-22 02:19:02,14.662,0.841,20.036,-119.74987733333333,36.81427933333333,-0.792724609375,-0.27685546875,-0.181396484375,Before Launch
15,2025-02-22 02:19:03,15.661,0.811,20.036,-1,-1,-0.8037109375,-0.096923828125,-0.09619140625,Before Launch
16,2025-02-22 02:19:04,16.662,0.743,20.049,-119.74987366666667,36.814281666666666,-1.003662109375,-0.10546875,-0.15625,Before Launch
17,2025-02-22 02:19:05,17.661,1.206,20.041,-119.74987783333333,36.8142865,-0.871826171875,-0.154296875,0.2646484375,Before Launch
18,2025-02-22 02:19:06,18.661,1.485,20.041,-119.74987983333334,36.814290666666665,-0.92626953125,-0.078125,0.09765625,Before Launch
19,2025-02-22 02:19:07,19.662,1.536,20.046,-119.74987766666666,36.814288833333336,-0.96826171875,-0.178466796875,0.216064453125,Before Launch
20,2025-02-22 02:19:08,20.662,1.465,20.049,-1,-1,-0.97607421875,-0.216064453125,-0.042724609375,Before Launch
21,2025-02-22 02:19:09,21.663,1.053,20.064,-119.74987283333333,36.8142765,-1.354248046875,-0.054931640625,-0.042724609375,Before Launch
22,2025-02-22 02:19:10,22.663,1.404,20.054,-119.749871,36.814279166666665,-0.91455078125,-0.119873046875,0.22021484375,Before Launch
23,2025-02-22 02:19:11,23.662,1.486,20.059,-119.74987033333333,36.814281333333334,-0.9560546875,-0.2197265625,0.048095703125,Before Launch
24,2025-02-22 02:19:12,24.663,1.714,20.064,-119.74987383333334,36.81428366666667,-0.949462890625,-0.18896484375,-0.0185546875,Before Launch
25,2025-02-22 02:19:13,25.663,1.738,20.064,-1,-1,-0.9580078125,-0.1513671875,0.04052734375,Before Launch
26,2025-02-22 02:19:14,26.662,1.81,20.076,-119.749874,36.81428,-0.797119140625,-0.110595703125,0.093505859375,Before Launch
27,2025-02-22 02:19:15,27.662,1.189,20.086,-119.74987833333333,36.814280333333336,-1.341064453125,-0.21630859375,0.079345703125,Before Launch
28,2025-02-22 02:19:16,28.663,0.561,20.081,-119.7498815,36.81427766666667,-0.65869140625,0.0458984375,-0.469482421875,Before Launch
29,2025-02-22 02:19:17,29.661,-0.331,20.069,-119.74988733333333,36.8142755,0.082763671875,0.220703125,-1.013427734375,Before Launch
30,2025-02-22 02:19:18,30.663,-0.107,20.046,-1,-1,0.03662109375,-0.03662109375,-0.926025390625,Before Launch
