n,Datetime (UTC),Timestamp (s),Altitude (m),Temperature (C),Longitude,Latitude,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Flag
0,2025-02-21 23:49:30,1.046,-0.037,21.473,-119.74987883333333,36.81426616666667,0.03076171875,-0.689697265625,-0.662841796875,Before Launch
1,2025-02-21 23:49:31,2.043,-0.025,21.48,-119.7498805,36.814262666666664,-0.10302734375,-0.685791015625,-0.578125,Before Launch
2,2025-02-21 23:49:32,3.045,0.192,21.48,-119.74989116666667,36.81426733333333,0.70751953125,-0.813232421875,-0.346923828125,Before Launch
3,2025-02-21 23:49:33,4.045,1.113,21.466,-119.74990683333333,36.814279166666665,-0.919921875,-0.0673828125,0.14794921875,Before Launch
4,2025-02-21 23:49:34,5.045,1.912,21.473,-119.74991233333333,36.8142795,-0.87939453125,-0.094482421875,0.294921875,Before Launch
5,2025-02-21 23:49:35,6.046,1.616,21.478,-1,-1,-0.915771484375,-0.509033203125,0.2216796875,Before Launch
6,2025-02-21 23:49:36,7.046,2.024,21.493,-119.74993766666667,36.814292333333334,-1.00732421875,-0.017822265625,0.1396484375,Before Launch
7,2025-02-21 23:49:37,8.045,1.767,21.498,-119.74995333333334,36.814296166666665,-0.95166015625,-0.111083984375,0.1181640625,During Launch
8,2025-02-21 23:49:38,9.045,1.802,21.496,-119.749947,36.81429266666667,-0.899169921875,-0.02294921875,0.10546875,During Launch
9,2025-02-21 23:49:39,10.046,1.531,21.503,-119.74995116666666,36.81430116666667,-1.03125,-0.152587890625,0.08544921875,During Launch
10,2025-02-21 23:49:40,11.046,1.289,21.493,-1,-1,-0.9013671875,-0.298828125,0.091796875,During Launch
11,2025-02-21 23:49:41,12.045,1.242,21.498,-119.7499415,36.81430966666667,-0.859619140625,-0.2646484375,0.13427734375,During Launch
12,2025-02-21 23:49:42,13.045,1.229,21.498,-119.74994333333333,36.81431333333333,-1.08740234375,-0.29541015625,0.0078125,During Launch
13,2025-02-21 23:49:43,14.046,1.229,21.491,-119.74995083333333,36.81432066666667,-0.82373046875,-0.230712890625,0.089111328125,During Launch
14,2025-02-21 23:49:44,15.052,0.909,21.493,-119.74995983333334,36.81433583333333,-0.8896484375,-0.234619140625,0.02001953125,During Launch
15,2025-02-21 23:49:45,16.046,0.495,21.486,-1,-1,-0.669921875,-0.53271484375,-0.147216796875,During Launch
16,2025-02-21 23:49:46,17.045,0.515,21.493,-119.74996066666667,36.81433116666667,-1.003173828125,-0.264892578125,0.10498046875,During Launch
17,2025-02-21 23:49:47,18.045,0.308,21.493,-119.74996133333333,36.814326333333334,-0.889404296875,-0.2197265625,0.117919921875,After Launch
18,2025-02-21 23:50:40,71.119,0.897,21.64,-1,-1,-0.87548828125,-0.284423828125,0.40380859375,After Launch
19,2025-02-21 23:51:33,124.291,0.617,21.795,-1,-1,-0.904052734375,-0.331298828125,0.36962890625,After Launch
20,2025-02-21 23:52:26,177.039,0.358,21.802,-119.74995966666667,36.814299,0.02685546875,-0.583984375,0.93603515625,After Launch
21,2025-02-21 23:53:18,229.115,0.107,21.633,-1,-1,0.02880859375,-0.579833984375,0.9404296875,After Launch
22,2025-02-21 23:54:11,282.035,-0.122,21.448,-1,-1,0.0263671875,-0.581787109375,0.93408203125,After Launch
