n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Flag
0,2025-03-20 00:10:01,0.004,0.18700788000000002,,22.967,-1,-1,0.0,0.0,Before Launch
1,2025-03-20 00:10:01,0.046,-0.05577428,,22.965,-1,-1,0.0,0.0,Before Launch
2,2025-03-20 00:10:01,0.089,0.30839896,,22.965,-1,-1,0.0,0.0,Before Launch
3,2025-03-20 00:10:01,0.132,1.0334646,,22.965,-1,-1,0.0,0.0,Before Launch
4,2025-03-20 00:10:01,0.174,0.9120735200000001,,22.967,-1,-1,0.0,0.0,Before Launch
5,2025-03-20 00:10:01,0.217,-1.85695544,,22.972,-1,-1,0.0,0.0,Before Launch
6,2025-03-20 00:10:01,0.259,1.2631234,,22.96,-1,-1,0.0,0.0,Before Launch
7,2025-03-20 00:10:01,0.302,-0.41666668,,22.965,-1,-1,0.0,0.0,Before Launch
8,2025-03-20 00:10:01,0.345,1.0334646,,22.965,-1,-1,0.0,0.0,Before Launch
9,2025-03-20 00:10:01,0.387,0.18700788000000002,,22.967,-1,-1,0.0,0.0,Before Launch
10,2025-03-20 00:10:02,0.43,0.9022310000000001,,22.96,-1,-1,0.0,0.0,Before Launch
11,2025-03-20 00:10:02,0.472,0.66929136,,22.965,-1,-1,0.0,0.0,Before Launch
12,2025-03-20 00:10:02,0.515,0.18700788000000002,,22.967,-1,-1,0.0,0.0,Before Launch
13,2025-03-20 00:10:02,0.558,1.3943569999999998,,22.965,-1,-1,0.0,0.0,Before Launch
14,2025-03-20 00:10:02,0.6,0.06889764000000001,,22.97,-1,-1,0.0,0.0,Before Launch
15,2025-03-20 00:10:02,0.643,1.51574808,,22.962,-1,-1,0.0,0.0,Before Launch
16,2025-03-20 00:10:02,0.686,0.65944884,,22.957,-1,-1,0.0,0.0,Before Launch
17,2025-03-20 00:10:02,0.728,0.42650920000000003,,22.962,-1,-1,0.0,0.0,Before Launch
18,2025-03-20 00:10:02,0.771,-0.41666668,,22.965,-1,-1,0.0,0.0,Before Launch
19,2025-03-20 00:10:02,0.814,2.10958012,,22.957,-1,-1,0.0,0.0,Before Launch
20,2025-03-20 00:10:02,0.856,0.53805776,,22.96,-1,-1,0.0,0.0,Before Launch
21,2025-03-20 00:10:02,0.899,1.14173232,,22.955,-1,-1,0.0,0.0,Before Launch
22,2025-03-20 00:10:02,0.941,0.53805776,,22.96,-1,-1,0.0,0.0,Before Launch
23,2025-03-20 00:10:02,0.984,-0.54790028,,22.96,-1,-1,0.0,0.0,Before Launch
24,2025-03-20 00:10:02,1.027,-0.29855644,,22.962,-1,-1,19.511137425168894,-19.42796323058927,Before Launch
25,2025-03-20 00:10:02,1.069,1.50262472,1.235,22.955,-1,-1,33.777150721210496,-33.730163859508906,Before Launch
26,2025-03-20 00:10:02,1.112,0.53805776,0.557,22.96,-1,-1,37.159154298341,-37.146820509863936,Before Launch
27,2025-03-20 00:10:02,1.157,0.30839896,0.0,22.965,-1,-1,19.1866219686437,-18.751066791616825,Before Launch
28,2025-03-20 00:10:02,1.199,1.02034124,-0.012,22.957,-1,-1,13.908332639141769,-13.319745574194258,Before Launch
29,2025-03-20 00:10:02,1.243,-0.05577428,-0.905,22.965,-1,-1,7.4908972419826485,-6.804924852302485,Before Launch
30,2025-03-20 00:10:02,1.288,0.41666668,2.123,22.962,-1,-1,5.639023473043201,-4.886994531012316,Before Launch
31,2025-03-20 00:10:02,1.333,0.0656168,-1.115,22.962,-1,-1,3.3396766492975765,-2.5617223776535925,Before Launch
32,2025-03-20 00:10:02,1.375,-0.05577428,0.336,22.965,-1,-1,2.6594891246328496,-1.9107612394929663,Before Launch
33,2025-03-20 00:10:03,1.418,0.41666668,-0.575,22.955,-1,-1,1.8555082855886487,-1.0889567504981639,Before Launch
34,2025-03-20 00:10:03,1.461,0.42650920000000003,0.223,22.962,-1,-1,1.6092542109186645,-0.8088583239943697,Before Launch
35,2025-03-20 00:10:03,1.504,0.66929136,-0.217,22.967,-1,-1,1.3144741584580912,-0.5340547907175948,Before Launch
36,2025-03-20 00:10:03,1.549,-0.54790028,-1.13,22.96,-1,-1,1.2345003470098839,-0.445710211553207,Before Launch
37,2025-03-20 00:10:03,1.592,-0.65944884,-0.786,22.962,-1,-1,1.1294860465285093,-0.3221557205496081,Before Launch
38,2025-03-20 00:10:03,1.635,-0.18700788000000002,-1.468,22.96,-1,-1,1.119612856289867,-0.28366340111808525,Before Launch
39,2025-03-20 00:10:03,1.678,1.1515748399999999,1.004,22.962,-1,-1,1.056777322472768,-0.2586161610131656,Before Launch
40,2025-03-20 00:10:03,1.721,0.18700788000000002,-1.233,22.962,-1,-1,1.060751428695141,-0.21909973420900242,Before Launch
41,2025-03-20 00:10:03,1.771,-0.41666668,-0.992,22.967,-1,-1,1.0571967952883532,-0.21477035708728853,Before Launch
42,2025-03-20 00:10:03,1.816,-0.41666668,-0.775,22.965,-1,-1,1.0469630409573907,-0.19730708558894866,Before Launch
43,2025-03-20 00:10:03,1.859,-1.14173232,-0.666,22.965,-1,-1,1.099647715614435,-0.2167340514786114,Before Launch
44,2025-03-20 00:10:03,1.902,-0.29855644,-2.213,22.962,-1,-1,1.0634499130568635,-0.21570051740783486,Before Launch
45,2025-03-20 00:10:03,1.946,0.9022310000000001,0.334,22.96,-1,-1,1.051677951424062,-0.2269841247136586,Before Launch
46,2025-03-20 00:10:03,1.989,2.35236228,1.111,22.962,-1,-1,1.046985502619617,-0.2200244921021095,Before Launch
47,2025-03-20 00:10:03,2.032,-0.29527559999999997,-0.764,22.97,-1,-1,1.0277045603161046,-0.25847003547276476,Before Launch
48,2025-03-20 00:10:03,2.075,0.42650920000000003,0.893,22.962,-1,-1,0.9835021755907981,-0.24423556261663387,Before Launch
49,2025-03-20 00:10:03,2.119,1.2631234,1.43,22.952,-1,-1,1.0155074991043065,-0.24644231065741345,Before Launch
