n,Datetime (UTC),Timestamp (s),Altitude (m),Temperature (C),Longitude,Latitude,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Flag
63,2025-03-13 23:22:02,73.901,-0.876,21.493,-1,-1,-1,-1,-1,Before Launch
64,2025-03-13 23:22:03,74.983,-0.603,21.496,-1,-1,-1,-1,-1,Before Launch
65,2025-03-13 23:22:05,76.464,-0.566,21.491,-1,-1,-1,-1,-1,Before Launch
66,2025-03-13 23:22:06,77.545,-0.648,21.493,-1,-1,-1,-1,-1,Before Launch
67,2025-03-13 23:22:07,78.626,-0.566,21.498,-1,-1,-1,-1,-1,Before Launch
68,2025-03-13 23:22:08,79.707,-0.63,21.488,-1,-1,-1,-1,-1,Before Launch
69,2025-03-13 23:22:09,80.788,-0.594,21.488,-1,-1,-1,-1,-1,Before Launch
70,2025-03-13 23:22:10,82.269,-0.643,21.486,-1,-1,-1,-1,-1,Before Launch
71,2025-03-13 23:22:12,83.35,-0.537,21.476,-1,-1,-1,-1,-1,Before Launch
72,2025-03-13 23:22:13,84.431,-0.643,21.486,-1,-1,-1,-1,-1,Before Launch
73,2025-03-13 23:22:14,85.512,-0.575,21.48,-1,-1,-1,-1,-1,Before Launch
74,2025-03-13 23:22:15,86.593,-0.7,21.483,-1,-1,-1,-1,-1,Before Launch
75,2025-03-13 23:22:16,88.074,-0.783,21.476,-1,-1,-1,-1,-1,Before Launch
76,2025-03-13 23:22:17,89.156,-0.616,21.471,-1,-1,-1,-1,-1,Before Launch
77,2025-03-13 23:22:18,90.236,-0.788,21.48,-1,-1,-1,-1,-1,Before Launch
78,2025-03-13 23:22:20,91.317,-0.768,21.473,-1,-1,-1,-1,-1,Before Launch
79,2025-03-13 23:22:21,92.398,-0.816,21.473,-1,-1,-1,-1,-1,Before Launch
80,2025-03-13 23:22:22,93.879,-0.759,21.473,-1,-1,-1,-1,-1,Before Launch
81,2025-03-13 23:22:23,94.96,-0.685,21.466,-1,-1,-1,-1,-1,Before Launch
82,2025-03-13 23:22:24,96.041,-0.694,21.466,-1,-1,-1,-1,-1,Before Launch
83,2025-03-13 23:22:25,97.123,-0.949,21.473,-1,-1,-1,-1,-1,Before Launch
84,2025-03-13 23:22:26,98.204,-0.746,21.468,-1,-1,-1,-1,-1,Before Launch
85,2025-03-13 23:22:28,99.685,-0.94,21.463,-1,-1,-1,-1,-1,Before Launch
86,2025-03-13 23:22:29,100.766,-1.028,21.468,-1,-1,-1,-1,-1,Before Launch
87,2025-03-13 23:22:30,101.847,-1.023,21.468,-1,-1,-1,-1,-1,Before Launch
88,2025-03-13 23:22:31,102.927,-0.782,21.463,-1,-1,-1,-1,-1,Before Launch
89,2025-03-13 23:22:32,104.013,-0.916,21.463,-1,-1,-1,-1,-1,Before Launch
