n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
90,72.701,0.812,-1,-1,20.353,927.599,0,0,0,
91,73.362,-0.194,-1,-1,20.423,927.759,0,0,0,
92,74.023,-0.713,-1,-1,20.446,927.747,0,0,0,
93,74.684,0.242,-1,-1,20.458,927.66,0,0,0,
94,75.345,0.225,35.104730333333336,-117.79588316666667,20.453,927.647,0,0,0,
95,76.406,0.249,35.104727,-117.7958855,20.378,927.659,0,0,0,
96,77.067,0.106,-1,-1,20.453,927.659,0,0,0,
97,77.728,0.418,35.104727,-117.7958855,20.465,927.643,0,0,0,
98,78.389,1.274,-1,-1,20.446,927.549,0,0,0,
99,79.05,0.615,-1,-1,20.428,927.653,0,0,0,
100,80.112,1.136,-1,-1,20.351,927.532,0,0,0,
101,80.772,0.811,-1,-1,20.411,927.58,0,0,0,
102,81.433,0.83,35.104727,-117.7958855,20.425,927.618,0,0,0,
103,82.095,1.151,35.10473066666667,-117.795889,20.425,927.558,0,0,0,
104,82.756,0.983,-1,-1,20.436,927.541,0,0,0,
105,83.817,0.026,35.10473066666667,-117.795889,20.363,927.641,0,0,0,
106,84.478,-0.694,-1,-1,20.425,927.716,0,0,0,
107,85.139,1.253,-1,-1,20.418,927.532,0,0,0,
108,85.8,-0.391,-1,-1,20.403,927.732,0,0,0,
109,86.461,-0.15,-1,-1,20.401,927.712,0,0,0,
110,87.523,-0.596,35.10473066666667,-117.795889,20.366,927.756,0,0,0,
111,88.187,-0.564,35.10473533333333,-117.79588766666667,20.45,927.739,0,0,0,
112,88.848,-0.695,-1,-1,20.495,927.77,0,0,0,
113,89.509,-1.005,35.10473533333333,-117.79588766666667,20.545,927.734,0,0,0,
114,90.172,-0.848,-1,-1,20.563,927.76,0,0,0,
115,91.234,-1.007,-1,-1,20.528,927.804,0,0,0,
116,91.897,-0.737,-1,-1,20.61,927.756,0,0,0,
117,92.558,0.065,-1,-1,20.643,927.717,0,0,0,
118,93.219,0.437,35.10473533333333,-117.79588766666667,20.655,927.644,0,0,0,
119,93.881,0.126,35.10474983333334,-117.79588166666667,20.647,927.748,0,0,0,
120,94.943,-0.713,-1,-1,20.563,927.778,0,0,0,
121,95.605,-0.946,35.10474983333334,-117.79588166666667,20.66,927.765,0,0,0,
122,96.266,-0.951,-1,-1,20.647,927.79,0,0,0,
123,96.928,-0.895,-1,-1,20.613,927.705,0,0,0,
124,97.59,0.941,-1,-1,20.618,927.59,0,0,0,
125,98.652,0.797,-1,-1,20.538,927.609,0,0,0,
126,99.313,0.539,35.10474983333334,-117.79588166666667,20.578,927.663,0,0,0,
127,99.974,0.449,35.104751,-117.79588383333333,20.57,927.592,0,0,0,
128,100.641,0.719,-1,-1,20.563,927.584,0,0,0,
129,101.303,0.979,35.104751,-117.79588383333333,20.578,927.591,0,0,0,
130,102.365,0.466,-1,-1,20.533,927.612,0,0,0,
131,103.028,-0.606,-1,-1,20.583,927.729,0,0,0,
132,103.687,-0.607,-1,-1,20.588,927.767,0,0,0,
133,104.347,-1.478,-1,-1,20.573,927.946,0,0,0,
134,105.01,-2.091,35.104751,-117.79588383333333,20.553,927.716,0,0,0,
135,106.072,-0.543,35.104757,-117.79587716666667,20.493,927.845,0,0,0,
136,106.734,-1.114,-1,-1,20.543,927.789,0,0,0,
137,107.395,-1.341,35.104757,-117.79587716666667,20.548,927.838,0,0,0,
138,108.058,0.37,-1,-1,20.56,927.651,0,0,0,
139,108.719,1.009,-1,-1,20.573,927.543,0,0,0,
140,109.78,0.533,-1,-1,20.508,927.665,0,0,0,
141,110.441,-0.878,-1,-1,20.57,927.774,0,0,0,
142,111.102,-0.748,35.104757,-117.79587716666667,20.575,927.699,0,0,0,
143,111.764,-0.184,35.10475133333333,-117.795895,20.58,927.715,0,0,0,
144,112.425,0.088,-1,-1,20.543,927.895,0,0,0,
145,113.488,-0.691,35.10475133333333,-117.795895,20.48,927.837,0,0,0,
146,114.149,-1.721,-1,-1,20.543,927.888,0,0,0,
147,114.81,-1.371,-1,-1,20.555,927.888,0,0,0,
148,115.471,-1.796,-1,-1,20.558,927.872,0,0,0,
149,116.133,-1.96,-1,-1,20.568,927.874,0,0,0,
150,117.194,-1.522,35.10475133333333,-117.795895,20.498,927.858,0,0,0,
151,117.855,-2.083,35.10474333333333,-117.7959055,20.565,927.906,0,0,0,
152,118.517,-1.898,-1,-1,20.575,927.875,0,0,0,
153,119.18,-1.752,35.10474333333333,-117.7959055,20.575,927.863,0,0,0,
154,119.841,-1.879,-1,-1,20.59,927.825,0,0,0,
155,120.901,-2.258,-1,-1,20.52,927.872,0,0,0,
156,121.562,-2.121,-1,-1,20.58,927.885,0,0,0,
157,122.223,-1.596,-1,-1,20.598,927.874,0,0,0,
158,122.889,-2.025,35.10474333333333,-117.7959055,20.6,927.899,0,0,0,
159,123.551,-1.424,35.104751666666665,-117.7959155,20.61,927.86,0,0,0,
160,124.612,-1.954,-1,-1,20.55,927.878,0,0,0,
161,125.272,-1.338,35.104751666666665,-117.7959155,20.603,927.862,0,0,0,
162,125.933,-1.764,-1,-1,20.605,927.84,0,0,0,
163,126.594,-1.478,-1,-1,20.583,927.865,0,0,0,
164,127.255,-1.522,-1,-1,20.61,927.896,0,0,0,
165,128.316,-1.454,-1,-1,20.57,927.883,0,0,0,
166,128.977,-1.628,35.104751666666665,-117.7959155,20.632,927.891,0,0,0,
167,129.639,-2.053,35.10474516666667,-117.7959275,20.64,927.936,0,0,0,
168,130.3,-1.941,-1,-1,20.645,927.871,0,0,0,
169,130.961,-1.612,35.10474516666667,-117.7959275,20.637,927.939,0,0,0,
170,132.022,-1.411,-1,-1,20.555,927.805,0,0,0,
171,132.684,0.277,-1,-1,20.553,927.833,0,0,0,
172,133.345,-0.596,-1,-1,20.51,927.7,0,0,0,
173,134.007,-0.02,-1,-1,20.485,927.562,0,0,0,
