n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
0,10.058,-0.056,-1,-1,22.86,1001.937,0,0,0,
1,10.718,-0.249,0.0,0.0,22.885,1001.894,0,0,0,
2,11.379,-0.04,-1,-1,22.897,1001.921,0,0,0,
3,12.04,-0.253,-1,-1,22.905,1001.942,0,0,0,
4,12.701,-0.239,-1,-1,22.912,1001.939,0,0,0,
5,13.362,-0.114,-1,-1,22.9,1001.941,0,0,0,
6,14.022,-0.006,0.0,0.0,22.907,1001.938,0,0,0,
7,14.683,-0.117,0.0,0.0,22.905,1001.927,0,0,0,
8,15.343,-0.312,-1,-1,22.907,1001.92,0,0,0,
9,16.004,-0.104,0.0,0.0,22.922,1001.961,0,0,0,
10,16.665,-0.439,-1,-1,22.915,1001.936,0,0,0,
11,17.326,-0.132,-1,-1,22.92,1001.916,0,0,0,
12,17.987,-0.341,-1,-1,22.915,1001.915,0,0,0,
13,18.648,-0.13,-1,-1,22.912,1001.875,0,0,0,
14,19.308,-0.205,0.0,0.0,22.917,1001.943,0,0,0,
15,19.969,-0.052,0.0,0.0,22.915,1001.938,0,0,0,
16,20.629,-0.047,-1,-1,22.925,1001.922,0,0,0,
17,21.29,-0.046,0.0,0.0,22.915,1001.941,0,0,0,
18,21.951,-0.21,-1,-1,22.93,1001.926,0,0,0,
19,22.612,-0.153,-1,-1,22.92,1001.91,0,0,0,
20,23.273,-0.363,-1,-1,22.935,1001.923,0,0,0,
21,23.934,-0.367,-1,-1,22.937,1001.924,0,0,0,
22,24.594,-0.222,0.0,0.0,22.932,1001.913,0,0,0,
