n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
0,10.351,0.126,-1,-1,22.693,1001.814,0,0,0,
1,11.011,-0.378,0.0,0.0,22.708,1001.846,0,0,0,
2,11.672,-0.085,-1,-1,22.72,1001.806,0,0,0,
3,12.333,-0.109,-1,-1,22.723,1001.798,0,0,0,
4,12.994,-0.178,-1,-1,22.728,1001.797,0,0,0,
5,13.655,-0.481,-1,-1,22.733,1001.819,0,0,0,
6,14.316,-0.461,0.0,0.0,22.728,1001.81,0,0,0,
7,14.977,-0.151,0.0,0.0,22.728,1001.835,0,0,0,
8,15.637,-0.383,-1,-1,22.738,1001.808,0,0,0,
9,16.298,-0.126,0.0,0.0,22.73,1001.828,0,0,0,
10,16.959,-0.503,-1,-1,22.73,1001.818,0,0,0,
11,17.62,-0.364,-1,-1,22.738,1001.81,0,0,0,
12,18.281,-0.27,-1,-1,22.735,1001.814,0,0,0,
13,18.942,-0.353,-1,-1,22.735,1001.823,0,0,0,
14,19.602,-0.423,0.0,0.0,22.738,1001.818,0,0,0,
15,20.263,-0.139,0.0,0.0,22.735,1001.805,0,0,0,
16,20.923,-0.488,-1,-1,22.75,1001.84,0,0,0,
17,21.584,-0.242,0.0,0.0,22.748,1001.838,0,0,0,
18,22.245,-0.274,-1,-1,22.75,1001.836,0,0,0,
19,22.906,-0.363,-1,-1,22.745,1001.826,0,0,0,
20,23.567,-0.335,-1,-1,22.745,1001.802,0,0,0,
21,24.228,-0.377,-1,-1,22.748,1001.795,0,0,0,
22,24.888,-0.428,0.0,0.0,22.745,1001.822,0,0,0,
23,25.549,-0.316,0.0,0.0,22.75,1001.793,0,0,0,
24,26.21,-0.367,-1,-1,22.75,1001.821,0,0,0,
25,26.87,-0.616,0.0,0.0,22.753,1001.819,0,0,0,
26,27.531,-0.032,-1,-1,22.755,1001.812,0,0,0,
27,28.192,-0.218,-1,-1,22.76,1001.833,0,0,0,
28,28.853,-0.376,-1,-1,22.75,1001.805,0,0,0,
29,29.514,-0.097,-1,-1,22.76,1001.789,0,0,0,
30,30.175,-0.181,0.0,0.0,22.758,1001.802,0,0,0,
31,30.835,-0.175,0.0,0.0,22.763,1001.801,0,0,0,
32,31.496,-0.181,-1,-1,22.755,1001.807,0,0,0,
33,32.156,-0.464,0.0,0.0,22.758,1001.828,0,0,0,
34,32.817,-0.39,-1,-1,22.763,1001.841,0,0,0,
35,33.478,-0.491,-1,-1,22.765,1001.836,0,0,0,
36,34.139,-0.32,-1,-1,22.77,1001.819,0,0,0,
37,34.801,-0.417,-1,-1,22.763,1001.832,0,0,0,
38,35.461,-0.455,0.0,0.0,22.763,1001.856,0,0,0,
39,36.122,-0.204,0.0,0.0,22.765,1001.819,0,0,0,
40,36.783,-0.157,-1,-1,22.765,1001.813,0,0,0,
41,37.443,-0.366,0.0,0.0,22.77,1001.802,0,0,0,
42,38.104,-0.296,-1,-1,22.773,1001.8,0,0,0,
43,38.765,-0.129,-1,-1,22.77,1001.826,0,0,0,
44,39.426,-0.115,-1,-1,22.775,1001.837,0,0,0,
45,40.087,-0.18,-1,-1,22.778,1001.795,0,0,0,
46,40.748,-0.384,0.0,0.0,22.775,1001.817,0,0,0,
47,41.409,-0.439,0.0,0.0,22.77,1001.829,0,0,0,
48,42.069,-0.417,-1,-1,22.778,1001.847,0,0,0,
49,42.73,-0.306,0.0,0.0,22.77,1001.822,0,0,0,
50,43.391,-0.565,-1,-1,22.773,1001.858,0,0,0,
51,44.052,-0.529,-1,-1,22.775,1001.819,0,0,0,
