n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
0,10.143,-0.154,-1,-1,22.698,1001.793,0,0,0,
1,10.803,-0.11,0.0,0.0,22.72,1001.77,0,0,0,
2,11.464,-0.049,-1,-1,22.723,1001.752,0,0,0,
3,12.125,-0.127,-1,-1,22.733,1001.772,0,0,0,
4,12.786,0.068,-1,-1,22.73,1001.771,0,0,0,
5,13.447,-0.1,-1,-1,22.743,1001.78,0,0,0,
6,14.108,0.104,0.0,0.0,22.735,1001.748,0,0,0,
7,14.769,0.007,0.0,0.0,22.735,1001.757,0,0,0,
8,15.429,-0.048,-1,-1,22.743,1001.741,0,0,0,
9,16.09,-0.276,0.0,0.0,22.735,1001.784,0,0,0,
10,16.751,0.016,-1,-1,22.74,1001.775,0,0,0,
11,17.412,-0.104,-1,-1,22.743,1001.776,0,0,0,
12,18.073,-0.14,-1,-1,22.735,1001.771,0,0,0,
13,18.735,-0.021,-1,-1,22.74,1001.771,0,0,0,
14,19.396,-0.247,0.0,0.0,22.743,1001.729,0,0,0,
15,20.057,0.11,0.0,0.0,22.75,1001.736,0,0,0,
16,20.717,0.021,-1,-1,22.748,1001.749,0,0,0,
17,21.378,-0.234,0.0,0.0,22.743,1001.761,0,0,0,
18,22.038,0.004,-1,-1,22.745,1001.784,0,0,0,
19,22.7,0.055,-1,-1,22.745,1001.741,0,0,0,
20,23.361,0.16,-1,-1,22.743,1001.761,0,0,0,
