n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
0,4.905,-404.884,-1,-1,24.381,1001.679,0,0,0,
1,5.567,-404.692,-1,-1,24.387,1001.717,0,0,0,
2,6.228,-404.584,36.8143555,-119.74998383333333,24.377,1001.677,0,0,0,
3,6.889,-404.572,-1,-1,24.367,1001.704,0,0,0,
4,7.55,-404.456,-1,-1,24.362,1001.668,0,0,0,
5,8.211,-404.475,-1,-1,24.352,1001.7,0,0,0,
6,8.834,-404.48,36.81435666666667,-119.7499845,24.352,1001.67,0,0,0,
7,9.575,-404.388,36.814362833333334,-119.7499845,-41.546,1001.693,0,0,0,
8,10.265,-404.438,-1,-1,24.371,1001.649,0,0,0,
9,10.897,566.79,-1,-1,24.406,1001.688,0,0,0,Launch Detected
9,11.063,-404.666,36.814362833333334,-119.7499845,24.491,1001.727,0,0,0,
10,11.724,-404.654,-1,-1,24.391,1001.67,0,0,0,
11,12.384,-404.553,-1,-1,24.379,1001.677,0,0,0,
12,13.046,-404.314,-1,-1,24.362,1001.686,0,0,0,
