n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
0,5.971,0.254,0.0,0.0,23.087,1001.492,0,0,0,
1,6.632,0.333,-1,-1,23.154,1001.488,0,0,0,
2,7.298,0.115,0.0,0.0,23.164,1001.464,0,0,0,
3,7.963,0.497,-1,-1,23.159,1001.491,0,0,0,
4,8.626,0.306,-1,-1,23.167,1001.498,0,0,0,
5,9.288,0.259,-1,-1,23.157,1001.462,0,0,0,
6,9.949,0.288,-1,-1,23.169,1001.478,0,0,0,
7,10.61,0.027,0.0,0.0,23.167,1001.489,0,0,0,
8,11.271,0.264,0.0,0.0,23.172,1001.504,0,0,0,
9,11.931,0.278,-1,-1,23.162,1001.498,0,0,0,
10,12.591,0.25,0.0,0.0,23.174,1001.492,0,0,0,
11,13.252,0.251,-1,-1,23.172,1001.509,0,0,0,
12,13.911,0.175,-1,-1,23.174,1001.494,0,0,0,
13,14.571,0.111,-1,-1,23.162,1001.498,0,0,0,
14,15.232,0.139,-1,-1,23.174,1001.507,0,0,0,
15,15.893,0.125,0.0,0.0,23.172,1001.536,0,0,0,
16,16.554,-0.099,36.814273,-119.7500295,23.169,1001.512,0,0,0,
17,17.214,0.046,-1,-1,23.164,1001.517,0,0,0,
18,17.875,0.264,36.814273,-119.7500295,23.174,1001.496,0,0,0,
19,18.536,0.218,-1,-1,23.169,1001.518,0,0,0,
20,19.597,-0.042,-1,-1,23.107,1001.504,0,0,0,
21,20.258,0.162,-1,-1,23.169,1001.506,0,0,0,
22,20.919,0.72,-1,-1,23.172,1001.491,0,0,0,
23,21.579,0.376,36.814273,-119.7500295,23.177,1001.497,0,0,0,
24,22.24,0.237,0.0,0.0,23.167,1001.477,0,0,0,
25,22.9,0.468,-1,-1,23.174,1001.492,0,0,0,
26,23.56,0.27,0.0,0.0,23.177,1001.517,0,0,0,
27,24.221,0.524,-1,-1,23.164,1001.487,0,0,0,
28,24.882,0.357,-1,-1,23.174,1001.477,0,0,0,
29,25.543,0.167,-1,-1,23.179,1001.495,0,0,0,
