n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
0,5.523,0.133,-1,-1,25.394,1001.885,0,0,0,
1,6.183,0.448,0.0,0.0,25.437,1001.858,0,0,0,
2,6.845,0.374,-1,-1,25.389,1001.881,0,0,0,
3,7.507,-0.077,0.0,0.0,25.337,1001.826,0,0,0,
4,8.173,-0.16,0.0,0.0,25.282,1001.899,0,0,0,
5,8.834,0.182,-1,-1,25.277,1001.879,0,0,0,
6,9.495,0.051,0.0,0.0,25.264,1001.883,0,0,0,
7,10.155,0.025,-1,-1,25.215,1001.881,0,0,0,
8,10.817,-0.043,0.0,0.0,25.195,1001.916,0,0,0,
9,11.483,-0.047,0.0,0.0,25.165,1001.883,0,0,0,
10,12.143,0.041,-1,-1,25.135,1001.904,0,0,0,
11,12.804,-0.127,0.0,0.0,25.092,1001.89,0,0,0,
12,13.464,-0.236,-1,-1,25.045,1001.877,0,0,0,
13,14.125,0.147,0.0,0.0,25.015,1001.876,0,0,0,
14,14.785,-0.059,0.0,0.0,24.985,1001.872,0,0,0,
15,15.445,0.051,-1,-1,24.94,1001.913,0,0,0,
16,16.106,0.28,0.0,0.0,24.908,1001.86,0,0,0,
17,16.766,-0.098,-1,-1,24.86,1001.908,0,0,0,
18,17.426,-0.039,0.0,0.0,24.821,1001.902,0,0,0,
19,18.087,0.092,0.0,0.0,24.798,1001.909,0,0,0,
20,19.147,-0.245,-1,-1,24.656,1001.88,0,0,0,
21,19.808,-0.06,0.0,0.0,24.688,1001.856,0,0,0,
22,20.469,-0.0,-1,-1,24.648,1001.884,0,0,0,
23,21.129,-0.247,0.0,0.0,24.613,1001.904,0,0,0,
24,21.789,-0.144,0.0,0.0,24.574,1001.892,0,0,0,
25,22.45,-0.276,-1,-1,24.559,1001.918,0,0,0,
26,23.11,-0.122,0.0,0.0,24.526,1001.9,0,0,0,
27,23.771,0.06,-1,-1,24.494,1001.9,0,0,0,
28,24.431,-0.054,0.0,0.0,24.439,1001.884,0,0,0,
29,25.1,-0.111,0.0,0.0,24.421,1001.893,0,0,0,
30,25.761,-0.317,-1,-1,24.377,1001.934,0,0,0,
31,26.421,-0.316,0.0,0.0,24.339,1001.935,0,0,0,
32,27.082,-0.283,-1,-1,24.319,1001.92,0,0,0,
33,27.743,-0.578,-1,-1,24.284,1001.942,0,0,0,
34,58.899,-0.288,0.0,0.0,24.269,1001.904,0,0,0,
35,59.559,-0.217,0.0,0.0,24.244,1001.939,0,0,0,
36,60.22,-0.207,-1,-1,24.194,1001.94,0,0,0,
37,60.881,-0.307,0.0,0.0,24.182,1001.925,0,0,0,
38,61.541,-0.268,-1,-1,24.152,1001.903,0,0,0,
39,62.202,-0.058,0.0,0.0,24.117,1001.933,0,0,0,
40,63.262,-0.583,0.0,0.0,24.007,1001.975,0,0,0,
41,63.922,-0.405,-1,-1,24.037,1001.934,0,0,0,
42,64.582,-0.667,0.0,0.0,24.027,1001.949,0,0,0,
43,65.243,-0.537,-1,-1,24.015,1001.966,0,0,0,
44,65.903,-0.413,0.0,0.0,24.002,1001.939,0,0,0,
45,66.563,-0.764,0.0,0.0,23.987,1001.963,0,0,0,
46,67.224,-0.734,-1,-1,23.967,1001.952,0,0,0,
47,67.885,-0.614,0.0,0.0,23.962,1001.925,0,0,0,
48,68.545,-0.657,-1,-1,23.95,1001.933,0,0,0,
49,69.206,-0.644,0.0,0.0,23.925,1001.992,0,0,0,
50,69.865,-0.437,0.0,0.0,23.905,1001.962,0,0,0,
51,70.525,-0.419,-1,-1,23.895,1001.933,0,0,0,
52,71.186,-0.579,0.0,0.0,23.878,1001.96,0,0,0,
53,71.847,-0.603,-1,-1,23.873,1002.0,0,0,0,
54,72.511,-0.65,0.0,0.0,23.855,1001.976,0,0,0,
55,73.17,-0.671,0.0,0.0,23.848,1001.967,0,0,0,
56,73.832,-0.527,-1,-1,23.845,1001.968,0,0,0,
57,74.494,-0.441,0.0,0.0,23.833,1001.948,0,0,0,
58,75.157,-0.841,-1,-1,23.82,1001.975,0,0,0,
59,75.819,-0.521,0.0,0.0,23.805,1001.962,0,0,0,
60,76.88,-0.529,0.0,0.0,23.728,1001.925,0,0,0,
61,77.539,-0.481,-1,-1,23.785,1001.972,0,0,0,
62,78.201,-0.655,0.0,0.0,23.77,1001.96,0,0,0,
63,78.861,-0.678,-1,-1,23.765,1001.935,0,0,0,
64,79.521,-0.684,0.0,0.0,23.763,1001.953,0,0,0,
65,80.181,-0.791,0.0,0.0,23.753,1001.962,0,0,0,
66,80.841,-0.825,-1,-1,23.745,1001.974,0,0,0,
67,81.501,-0.746,0.0,0.0,23.735,1001.965,0,0,0,
