n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
0,5.492,0.005,-1,-1,22.95,1001.831,0,0,0,
1,6.152,-0.093,0.0,0.0,23.022,1001.85,0,0,0,
2,6.813,-0.07,0.0,0.0,23.027,1001.837,0,0,0,
3,7.476,0.149,-1,-1,23.022,1001.853,0,0,0,
4,8.146,0.0,0.0,0.0,23.029,1001.835,0,0,0,
5,8.809,-0.185,-1,-1,23.027,1001.864,0,0,0,
6,9.47,-0.014,-1,-1,23.027,1001.865,0,0,0,
7,10.132,-0.143,-1,-1,23.032,1001.87,0,0,0,
8,10.793,-0.389,-1,-1,23.027,1001.873,0,0,0,
9,11.453,-0.185,0.0,0.0,23.032,1001.875,0,0,0,
10,12.114,-0.181,0.0,0.0,23.027,1001.859,0,0,0,
11,12.777,-0.068,-1,-1,23.037,1001.886,0,0,0,
12,13.437,-0.292,0.0,0.0,23.035,1001.876,0,0,0,
13,14.099,-0.132,-1,-1,23.037,1001.855,0,0,0,
14,14.76,-0.12,-1,-1,23.035,1001.824,0,0,0,
15,15.422,0.257,-1,-1,23.025,1001.844,0,0,0,
16,16.083,-0.022,-1,-1,23.029,1001.866,0,0,0,
17,16.745,0.154,0.0,0.0,23.029,1001.845,0,0,0,
18,17.407,-0.259,0.0,0.0,23.037,1001.836,0,0,0,
19,18.067,0.122,-1,-1,23.035,1001.836,0,0,0,
20,19.13,-0.134,0.0,0.0,22.972,1001.861,0,0,0,
21,19.792,-0.235,-1,-1,23.032,1001.865,0,0,0,
22,20.452,-0.157,-1,-1,23.037,1001.849,0,0,0,
23,21.115,-0.036,-1,-1,23.035,1001.866,0,0,0,
24,21.777,-0.11,-1,-1,23.029,1001.874,0,0,0,
25,22.44,-0.171,0.0,0.0,23.027,1001.819,0,0,0,
26,23.103,-0.143,0.0,0.0,23.025,1001.843,0,0,0,
27,23.764,0.075,-1,-1,23.029,1001.868,0,0,0,
28,24.426,0.112,0.0,0.0,23.032,1001.869,0,0,0,
29,25.091,-0.04,-1,-1,23.027,1001.839,0,0,0,
30,25.751,-0.153,-1,-1,23.027,1001.869,0,0,0,
31,26.415,-0.251,-1,-1,23.025,1001.88,0,0,0,
32,27.079,-0.19,-1,-1,23.025,1001.862,0,0,0,
33,27.742,-0.028,0.0,0.0,23.027,1001.846,0,0,0,
34,28.404,0.182,0.0,0.0,23.029,1001.855,0,0,0,
35,29.065,-0.25,-1,-1,23.025,1001.873,0,0,0,
36,29.725,-0.111,0.0,0.0,23.022,1001.915,0,0,0,
37,30.389,0.178,-1,-1,23.02,1001.865,0,0,0,
38,31.049,-0.329,-1,-1,23.025,1001.862,0,0,0,
39,31.71,-0.288,-1,-1,23.035,1001.869,0,0,0,
40,32.778,-0.06,-1,-1,22.957,1001.87,0,0,0,
41,33.439,-0.056,0.0,0.0,23.012,1001.875,0,0,0,
42,34.102,0.024,0.0,0.0,23.025,1001.835,0,0,0,
43,34.763,0.144,-1,-1,23.015,1001.851,0,0,0,
44,35.426,-0.13,0.0,0.0,23.022,1001.857,0,0,0,
45,36.089,-0.144,-1,-1,23.022,1001.85,0,0,0,
46,36.75,-0.278,-1,-1,23.022,1001.867,0,0,0,
47,37.412,-0.233,-1,-1,23.02,1001.87,0,0,0,
48,38.075,-0.362,-1,-1,23.015,1001.889,0,0,0,
49,38.737,-0.348,0.0,0.0,23.025,1001.867,0,0,0,
50,39.397,-0.516,0.0,0.0,23.02,1001.891,0,0,0,
51,40.058,-0.219,-1,-1,23.015,1001.883,0,0,0,
52,40.718,-0.381,0.0,0.0,23.029,1001.883,0,0,0,
53,41.379,-0.568,-1,-1,23.012,1001.867,0,0,0,
54,42.041,-0.107,-1,-1,23.017,1001.885,0,0,0,
55,42.703,-0.222,-1,-1,23.022,1001.877,0,0,0,
56,43.365,-0.344,-1,-1,23.02,1001.888,0,0,0,
57,44.026,-0.256,0.0,0.0,23.015,1001.88,0,0,0,
58,44.687,-0.358,0.0,0.0,23.015,1001.858,0,0,0,
59,45.348,-0.167,-1,-1,23.015,1001.854,0,0,0,
60,46.408,-0.129,0.0,0.0,22.96,1001.841,0,0,0,
61,47.069,-0.065,-1,-1,23.015,1001.855,0,0,0,
62,47.73,-0.023,-1,-1,23.017,1001.861,0,0,0,
63,48.391,-0.412,-1,-1,23.017,1001.883,0,0,0,
64,49.052,-0.576,-1,-1,23.022,1001.871,0,0,0,
65,49.712,-0.25,0.0,0.0,23.027,1001.85,0,0,0,
66,50.373,-0.121,0.0,0.0,23.02,1001.867,0,0,0,
67,51.034,-0.367,-1,-1,23.012,1001.846,0,0,0,
68,51.694,-0.228,0.0,0.0,23.025,1001.899,0,0,0,
69,52.355,-0.222,-1,-1,23.022,1001.86,0,0,0,
70,53.017,-0.543,-1,-1,23.022,1001.88,0,0,0,
71,53.678,-0.441,-1,-1,23.017,1001.884,0,0,0,
72,54.34,-0.348,-1,-1,23.022,1001.864,0,0,0,
73,55.0,-0.236,0.0,0.0,23.017,1001.862,0,0,0,
74,55.662,-0.186,0.0,0.0,23.015,1001.895,0,0,0,
75,56.322,-0.363,-1,-1,23.02,1001.88,0,0,0,
76,56.983,-0.247,0.0,0.0,23.017,1001.864,0,0,0,
77,57.644,-0.51,-1,-1,23.025,1001.89,0,0,0,
78,58.305,-0.33,-1,-1,23.025,1001.895,0,0,0,
79,58.966,-0.325,-1,-1,23.022,1001.879,0,0,0,
80,60.027,-0.144,-1,-1,22.955,1001.868,0,0,0,
81,60.687,-0.199,0.0,0.0,23.015,1001.893,0,0,0,
82,61.348,-0.301,0.0,0.0,23.015,1001.876,0,0,0,
83,62.008,-0.256,-1,-1,23.022,1001.891,0,0,0,
84,62.669,-0.484,0.0,0.0,23.02,1001.884,0,0,0,
85,63.331,-0.423,-1,-1,23.022,1001.89,0,0,0,
86,63.993,-0.44,-1,-1,23.025,1001.892,0,0,0,
87,64.653,-0.363,-1,-1,23.029,1001.892,0,0,0,
88,65.313,-0.26,-1,-1,23.027,1001.9,0,0,0,
89,65.974,-0.32,0.0,0.0,23.037,1001.878,0,0,0,
90,66.634,-0.361,0.0,0.0,23.042,1001.891,0,0,0,
91,67.294,-0.291,-1,-1,23.039,1001.867,0,0,0,
92,67.955,-0.314,0.0,0.0,23.045,1001.889,0,0,0,
93,68.616,-0.259,-1,-1,23.045,1001.891,0,0,0,
94,69.277,-0.294,-1,-1,23.057,1001.9,0,0,0,
95,69.938,-0.206,-1,-1,23.054,1001.874,0,0,0,
96,70.599,-0.478,-1,-1,23.077,1001.878,0,0,0,
97,71.259,-0.231,0.0,0.0,23.084,1001.896,0,0,0,
98,71.922,-0.449,0.0,0.0,23.094,1001.891,0,0,0,
99,72.582,-0.417,-1,-1,23.094,1001.909,0,0,0,
100,73.642,-0.305,0.0,0.0,23.037,1001.865,0,0,0,
101,74.304,-0.453,-1,-1,23.097,1001.894,0,0,0,
102,74.969,-0.119,-1,-1,23.104,1001.885,0,0,0,
103,75.632,-0.608,-1,-1,23.104,1001.904,0,0,0,
104,76.294,-0.318,-1,-1,23.114,1001.873,0,0,0,
105,76.955,-0.319,0.0,0.0,23.117,1001.887,0,0,0,
106,77.616,-0.272,0.0,0.0,23.117,1001.878,0,0,0,
107,78.276,-0.156,-1,-1,23.117,1001.867,0,0,0,
108,78.937,-0.224,0.0,0.0,23.114,1001.893,0,0,0,
109,79.598,-0.345,-1,-1,23.122,1001.879,0,0,0,
110,80.259,-0.02,-1,-1,23.124,1001.885,0,0,0,
111,80.92,-0.438,-1,-1,23.137,1001.884,0,0,0,
112,81.581,-0.558,-1,-1,23.134,1001.868,0,0,0,
