n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
0,5.914,-1.009,-1,-1,20.777,928.139,0,0,0,
1,6.575,-0.86,35.104605666666664,-117.7957065,20.847,928.134,0,0,0,
2,7.236,-2.099,-1,-1,20.899,928.359,0,0,0,
3,7.898,-0.917,-1,-1,20.929,928.13,0,0,0,
4,8.559,0.051,-1,-1,20.914,928.017,0,0,0,
5,9.62,0.026,35.104605666666664,-117.7957065,20.842,928.034,0,0,0,
6,10.281,-0.058,35.10462016666666,-117.7957305,20.904,928.131,0,0,0,
7,10.942,0.215,-1,-1,20.912,928.064,0,0,0,
8,11.603,-0.193,35.10462016666666,-117.7957305,20.919,928.032,0,0,0,
9,12.265,0.64,-1,-1,20.919,927.98,0,0,0,
10,13.326,-0.092,-1,-1,20.87,928.058,0,0,0,
11,13.987,0.086,-1,-1,20.937,928.07,0,0,0,
12,14.648,-0.014,35.10462016666666,-117.7957305,20.952,928.049,0,0,0,
13,15.309,-0.005,35.1046315,-117.79572966666667,20.952,928.054,0,0,0,
14,15.97,0.399,-1,-1,20.952,928.04,0,0,0,
15,17.032,-0.118,35.1046315,-117.79572966666667,20.897,928.079,0,0,0,
16,17.694,0.244,-1,-1,20.969,928.028,0,0,0,
17,18.355,-0.094,-1,-1,20.964,928.057,0,0,0,
18,19.018,-0.015,-1,-1,20.982,928.051,0,0,0,
19,19.679,0.016,35.1046315,-117.79572966666667,20.989,928.057,0,0,0,
20,20.741,-0.313,35.104640833333335,-117.795749,20.929,928.038,0,0,0,
21,21.402,-0.127,-1,-1,20.994,928.065,0,0,0,
22,22.063,0.303,35.104640833333335,-117.795749,20.999,928.015,0,0,0,
23,22.725,-0.392,-1,-1,21.014,928.087,0,0,0,
24,23.387,0.088,-1,-1,21.004,928.049,0,0,0,
25,24.448,-0.653,-1,-1,20.957,928.134,0,0,0,
26,25.109,-0.635,35.104640833333335,-117.795749,21.014,928.132,0,0,0,
27,25.77,-0.334,35.10464183333333,-117.79575116666666,21.032,928.05,0,0,0,
28,26.431,-0.441,-1,-1,21.029,928.015,0,0,0,
29,27.092,-0.081,35.10464183333333,-117.79575116666666,21.039,928.06,0,0,0,
30,28.154,0.267,-1,-1,20.969,928.06,0,0,0,
31,28.815,-0.352,-1,-1,21.034,928.068,0,0,0,
32,29.476,-0.022,-1,-1,21.046,928.088,0,0,0,
33,30.137,0.059,35.10464183333333,-117.79575116666666,21.037,928.069,0,0,0,
34,30.798,-0.325,35.10465283333333,-117.79576116666667,21.049,928.067,0,0,0,
35,31.859,-0.136,-1,-1,20.979,928.054,0,0,0,
36,32.52,0.178,35.10465283333333,-117.79576116666667,21.037,928.047,0,0,0,
37,33.181,-0.575,-1,-1,21.044,928.075,0,0,0,
38,33.842,-0.326,-1,-1,21.056,928.096,0,0,0,
39,34.503,-0.312,-1,-1,21.062,928.082,0,0,0,
40,35.564,0.11,35.10465283333333,-117.79576116666667,20.997,928.02,0,0,0,
41,36.225,0.088,35.10464316666667,-117.79575,21.059,928.074,0,0,0,
42,36.886,-0.438,-1,-1,21.059,928.06,0,0,0,
43,37.547,-0.393,35.10464316666667,-117.79575,21.062,928.056,0,0,0,
44,38.208,-0.568,-1,-1,21.064,928.083,0,0,0,
45,39.269,-0.12,-1,-1,21.004,928.066,0,0,0,
46,39.93,-0.575,-1,-1,21.084,928.144,0,0,0,
47,40.591,-0.566,35.10464316666667,-117.79575,21.067,928.137,0,0,0,
48,41.252,-0.453,35.10464066666667,-117.795741,21.091,928.065,0,0,0,
49,41.913,-0.837,-1,-1,21.101,928.148,0,0,0,
50,42.975,-0.623,35.10464066666667,-117.795741,21.044,928.11,0,0,0,
51,43.635,-0.831,-1,-1,21.111,928.126,0,0,0,
52,44.297,-0.777,-1,-1,21.114,928.164,0,0,0,
53,44.958,-0.641,-1,-1,21.104,928.097,0,0,0,
54,45.619,-0.649,35.10464066666667,-117.795741,21.121,928.172,0,0,0,
55,46.68,-1.041,35.10463166666667,-117.79572083333333,21.069,928.153,0,0,0,
56,47.341,-1.063,-1,-1,21.134,928.171,0,0,0,
57,48.002,-0.736,35.10463166666667,-117.79572083333333,21.139,928.086,0,0,0,
58,48.663,-0.298,-1,-1,21.139,928.043,0,0,0,
59,49.324,0.021,-1,-1,21.126,928.115,0,0,0,
60,50.385,-0.376,-1,-1,21.084,928.143,0,0,0,
61,51.046,-0.827,35.10463166666667,-117.79572083333333,21.146,928.143,0,0,0,
62,51.707,-0.43,35.104634833333336,-117.79570966666667,21.139,928.09,0,0,0,
63,52.368,-0.684,-1,-1,21.164,928.075,0,0,0,
64,53.029,-1.139,35.104634833333336,-117.79570966666667,21.159,928.108,0,0,0,
65,54.091,-0.356,-1,-1,21.106,928.096,0,0,0,
66,54.752,-0.23,-1,-1,21.164,928.09,0,0,0,
67,55.413,0.583,-1,-1,21.171,927.995,0,0,0,
68,56.074,0.523,35.104634833333336,-117.79570966666667,21.169,927.924,0,0,0,
69,56.735,0.808,35.1046425,-117.79570716666667,21.174,927.961,0,0,0,
70,57.796,0.871,-1,-1,21.116,928.056,0,0,0,
71,58.457,2.98,35.1046425,-117.79570716666667,21.176,927.802,0,0,0,
72,59.118,0.974,-1,-1,21.171,927.854,0,0,0,
73,59.779,0.804,-1,-1,21.171,927.989,0,0,0,
74,60.44,1.0,-1,-1,21.179,927.892,0,0,0,
75,61.501,1.381,35.1046425,-117.79570716666667,21.114,927.912,0,0,0,
76,62.162,1.722,35.1046465,-117.79569833333333,21.169,927.876,0,0,0,
77,62.823,1.225,-1,-1,21.176,927.919,0,0,0,
78,63.484,0.724,35.1046465,-117.79569833333333,21.179,927.94,0,0,0,
79,64.145,0.389,-1,-1,21.181,927.973,0,0,0,
80,65.206,1.06,-1,-1,21.119,927.88,0,0,0,
81,65.867,1.742,-1,-1,21.179,927.918,0,0,0,
82,66.528,1.377,35.1046465,-117.79569833333333,21.191,927.876,0,0,0,
83,67.189,0.169,35.1046575,-117.795721,21.186,927.907,0,0,0,
84,67.85,1.434,-1,-1,21.191,927.884,0,0,0,
85,68.911,1.178,35.1046575,-117.795721,21.129,927.954,0,0,0,
86,69.572,1.684,-1,-1,21.189,927.878,0,0,0,
87,70.233,1.308,-1,-1,21.196,927.872,0,0,0,
88,70.894,1.888,-1,-1,21.199,927.808,0,0,0,
89,71.555,2.506,35.1046575,-117.795721,21.199,927.857,0,0,0,
90,72.616,1.828,35.10466566666667,-117.7957255,21.139,927.796,0,0,0,
91,73.277,2.858,-1,-1,21.196,927.664,0,0,0,
92,73.939,1.987,35.10466566666667,-117.7957255,21.204,927.903,0,0,0,
93,74.599,-2.905,-1,-1,21.216,928.273,0,0,0,
94,75.261,-1.963,-1,-1,21.226,928.347,0,0,0,
95,76.322,2.076,-1,-1,21.159,927.843,0,0,0,
96,76.983,1.012,35.10466566666667,-117.7957255,21.214,927.921,0,0,0,
97,77.644,1.684,35.104650166666666,-117.79570866666667,21.224,927.93,0,0,0,
98,78.305,1.242,-1,-1,21.231,927.898,0,0,0,
99,78.966,1.538,35.104650166666666,-117.79570866666667,21.224,927.874,0,0,0,
100,80.027,0.736,-1,-1,21.169,927.927,0,0,0,
101,80.688,0.357,-1,-1,21.244,928.047,0,0,0,
102,81.35,-0.291,-1,-1,21.256,928.08,0,0,0,
103,82.01,-1.192,35.104650166666666,-117.79570866666667,21.276,928.174,0,0,0,
104,82.672,0.799,35.104644,-117.7956985,21.286,927.927,0,0,0,
105,83.732,1.238,-1,-1,21.211,927.918,0,0,0,
106,84.394,1.6,35.104644,-117.7956985,21.286,927.973,0,0,0,
107,85.055,0.6,-1,-1,21.304,927.993,0,0,0,
108,85.716,1.228,-1,-1,21.313,927.973,0,0,0,
109,86.377,0.337,-1,-1,21.321,928.015,0,0,0,
110,87.438,1.183,35.104644,-117.7956985,21.279,927.915,0,0,0,
111,88.099,0.352,35.10463766666667,-117.79567483333334,21.348,927.939,0,0,0,
112,88.76,0.21,-1,-1,21.361,928.047,0,0,0,
113,89.421,0.906,35.10463766666667,-117.79567483333334,21.356,927.991,0,0,0,
114,90.082,1.467,-1,-1,21.348,927.923,0,0,0,
115,91.143,1.352,-1,-1,21.286,927.906,0,0,0,
116,91.804,1.328,-1,-1,21.346,927.886,0,0,0,
117,92.465,1.71,35.10463766666667,-117.79567483333334,21.343,927.883,0,0,0,
118,93.127,1.766,35.10463633333333,-117.79567833333333,21.348,927.839,0,0,0,
119,93.787,1.145,-1,-1,21.348,927.912,0,0,0,
120,94.849,1.666,35.10463633333333,-117.79567833333333,21.281,927.883,0,0,0,
121,95.51,0.781,-1,-1,21.351,927.998,0,0,0,
122,96.171,0.508,-1,-1,21.348,928.006,0,0,0,
123,96.832,0.809,-1,-1,21.358,928.024,0,0,0,
124,97.493,1.256,35.10463633333333,-117.79567833333333,21.361,927.921,0,0,0,
125,98.554,0.526,35.104637833333335,-117.79566833333334,21.296,927.975,0,0,0,
126,99.215,1.865,-1,-1,21.366,927.772,0,0,0,
127,99.876,2.035,35.104637833333335,-117.79566833333334,21.388,927.843,0,0,0,
