n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
0,5.967,-1.019,0.0,0.0,21.146,926.539,0,0,0,
1,6.629,-0.359,-1,-1,21.144,926.535,0,0,0,
2,7.287,-0.159,0.0,0.0,21.091,926.429,0,0,0,
3,7.964,-0.228,-1,-1,21.049,926.457,0,0,0,
4,8.625,-1.156,-1,-1,21.009,926.61,0,0,0,
5,9.287,0.8,0.0,0.0,20.992,926.376,0,0,0,
6,9.947,0.276,0.0,0.0,20.999,926.47,0,0,0,
7,10.609,-1.181,-1,-1,21.024,926.588,0,0,0,
8,11.272,-0.778,0.0,0.0,21.004,926.641,0,0,0,
9,11.934,-1.079,-1,-1,20.969,926.582,0,0,0,
10,12.595,0.196,0.0,0.0,20.952,926.42,0,0,0,
11,13.255,0.357,0.0,0.0,20.942,926.399,0,0,0,
12,13.915,-0.359,-1,-1,20.909,926.537,0,0,0,
13,14.576,-0.663,0.0,0.0,20.882,926.456,0,0,0,
14,15.236,-0.172,-1,-1,20.857,926.471,0,0,0,
15,15.896,0.177,0.0,0.0,20.837,926.427,0,0,0,
16,16.556,-0.843,0.0,0.0,20.825,926.587,0,0,0,
17,17.217,-0.857,-1,-1,20.777,926.538,0,0,0,
18,17.877,-1.785,0.0,0.0,20.755,926.758,0,0,0,
19,18.538,-1.705,-1,-1,20.727,926.574,0,0,0,
20,19.598,-1.008,0.0,0.0,20.64,926.606,0,0,0,
21,20.258,-2.938,0.0,0.0,20.68,926.81,0,0,0,
22,20.92,-1.865,-1,-1,20.663,926.614,0,0,0,
23,21.58,-2.044,0.0,0.0,20.647,926.677,0,0,0,
24,22.241,-2.418,-1,-1,20.637,926.755,0,0,0,
25,22.901,-1.836,0.0,0.0,20.615,926.67,0,0,0,
26,23.562,-1.922,0.0,0.0,20.6,926.735,0,0,0,
27,24.223,-3.23,-1,-1,20.575,926.747,0,0,0,
28,24.883,-2.707,0.0,0.0,20.573,926.741,0,0,0,
29,25.544,-1.708,-1,-1,20.568,926.706,0,0,0,
30,26.204,-2.572,0.0,0.0,20.54,926.784,0,0,0,
31,26.864,-2.573,0.0,0.0,20.535,926.795,0,0,0,
32,27.525,-2.367,-1,-1,20.52,926.654,0,0,0,
33,28.185,-2.686,0.0,0.0,20.49,926.772,0,0,0,
34,28.846,-2.892,-1,-1,20.49,926.819,0,0,0,
35,29.506,-2.405,0.0,0.0,20.493,926.708,0,0,0,
36,30.166,-2.772,0.0,0.0,20.463,926.795,0,0,0,
37,30.826,-3.624,-1,-1,20.453,926.789,0,0,0,
38,31.486,-4.367,0.0,0.0,20.436,926.909,0,0,0,
39,32.147,-3.329,-1,-1,20.405,926.738,0,0,0,
40,33.208,-3.124,0.0,0.0,20.321,926.904,0,0,0,
41,33.868,-3.773,0.0,0.0,20.381,926.798,0,0,0,
42,34.528,-3.257,-1,-1,20.383,926.776,0,0,0,
43,35.189,-3.141,0.0,0.0,20.373,926.822,0,0,0,
44,35.849,-4.819,-1,-1,20.363,926.925,0,0,0,
45,36.51,-3.039,0.0,0.0,20.343,926.748,0,0,0,
46,37.17,-2.956,0.0,0.0,20.333,926.644,0,0,0,
47,37.83,-3.696,-1,-1,20.308,926.905,0,0,0,
48,38.491,-2.905,0.0,0.0,20.204,926.689,0,0,0,
49,39.152,-1.955,-1,-1,20.198,926.86,0,0,0,
50,39.812,-3.366,0.0,0.0,20.281,926.92,0,0,0,
51,40.473,-0.793,0.0,0.0,20.116,926.872,0,0,0,
52,41.133,-2.564,-1,-1,20.246,926.824,0,0,0,
53,41.793,-3.333,0.0,0.0,20.231,926.732,0,0,0,
54,42.454,-3.575,-1,-1,20.161,926.72,0,0,0,
55,43.114,-4.397,0.0,0.0,20.179,926.894,0,0,0,
56,43.775,-3.031,0.0,0.0,20.223,926.884,0,0,0,
57,44.435,-3.211,-1,-1,20.216,926.866,0,0,0,
58,45.095,-3.946,0.0,0.0,20.179,926.93,0,0,0,
59,45.755,-4.315,-1,-1,20.201,926.885,0,0,0,
60,46.816,-4.64,-1,-1,20.129,926.986,0,0,0,
61,47.476,-4.667,0.0,0.0,20.181,926.962,0,0,0,
62,48.137,-4.227,0.0,0.0,20.159,926.923,0,0,0,
63,48.797,-4.146,-1,-1,20.161,926.868,0,0,0,
64,49.458,-3.65,0.0,0.0,20.139,926.868,0,0,0,
65,50.118,-3.054,-1,-1,19.989,926.775,0,0,0,
66,50.779,-4.575,0.0,0.0,20.129,926.918,0,0,0,
67,51.439,-3.666,0.0,0.0,20.124,926.874,0,0,0,
68,52.1,-3.497,-1,-1,20.119,926.963,0,0,0,
69,52.76,-4.311,0.0,0.0,20.121,926.913,0,0,0,
70,53.421,-3.777,-1,-1,19.994,926.893,0,0,0,
71,54.081,-3.365,0.0,0.0,19.994,926.814,0,0,0,
72,54.741,-4.031,0.0,0.0,20.109,926.883,0,0,0,
73,55.401,-4.388,-1,-1,20.109,926.902,0,0,0,
74,56.062,-3.961,0.0,0.0,20.099,926.886,0,0,0,
75,56.722,-4.709,-1,-1,20.091,926.969,0,0,0,
76,57.383,-3.945,0.0,0.0,20.064,926.906,0,0,0,
77,58.043,-3.87,0.0,0.0,20.059,926.893,0,0,0,
78,58.703,-3.442,-1,-1,20.071,926.841,0,0,0,
79,59.363,-3.581,0.0,0.0,20.059,926.85,0,0,0,
80,60.424,-2.863,-1,-1,19.952,926.706,0,0,0,
81,61.084,-3.594,0.0,0.0,20.049,926.793,0,0,0,
82,61.744,-3.546,0.0,0.0,20.041,926.898,0,0,0,
83,62.405,-3.988,-1,-1,20.039,926.907,0,0,0,
84,63.065,-3.914,0.0,0.0,20.031,926.902,0,0,0,
85,63.726,-3.559,-1,-1,20.044,926.833,0,0,0,
86,64.386,-2.887,-1,-1,20.041,926.929,0,0,0,
87,65.046,-4.923,0.0,0.0,20.034,926.983,0,0,0,
88,65.707,-4.706,0.0,0.0,20.031,926.936,0,0,0,
89,66.367,-3.574,-1,-1,20.026,926.94,0,0,0,
90,67.027,-4.59,0.0,0.0,20.016,926.951,0,0,0,
91,67.688,-4.558,-1,-1,20.019,926.884,0,0,0,
92,68.348,-4.143,0.0,0.0,20.016,926.889,0,0,0,
93,69.009,-3.753,0.0,0.0,20.021,926.861,0,0,0,
94,69.669,-3.48,-1,-1,20.021,926.892,0,0,0,
95,70.33,-4.123,0.0,0.0,20.019,926.91,0,0,0,
96,70.991,-4.581,-1,-1,20.016,926.963,0,0,0,
97,71.651,-4.057,-1,-1,20.012,926.922,0,0,0,
98,72.312,2.034,0.0,0.0,19.553,926.726,0,0,0,
99,72.972,-1.229,0.0,0.0,19.789,926.652,0,0,0,
100,74.033,-3.34,-1,-1,19.879,926.938,0,0,0,
101,74.694,-0.213,0.0,0.0,19.577,926.327,0,0,0,
102,75.354,-4.772,-1,-1,20.004,926.959,0,0,0,
103,76.015,-1.551,0.0,0.0,19.685,926.61,0,0,0,
104,76.675,-0.911,0.0,0.0,19.809,926.381,0,0,0,
105,77.336,-1.644,-1,-1,19.647,926.516,0,0,0,
106,77.996,-0.608,0.0,0.0,19.735,926.374,0,0,0,
107,78.657,0.783,-1,-1,19.747,926.541,0,0,0,
108,79.317,0.557,-1,-1,19.764,926.453,0,0,0,
109,79.977,-1.705,0.0,0.0,19.754,926.618,0,0,0,
110,80.638,-1.424,0.0,0.0,19.832,926.653,0,0,0,
111,81.298,-4.305,-1,-1,19.994,926.93,0,0,0,
112,81.958,-4.275,0.0,0.0,19.787,926.708,0,0,0,
113,82.618,-4.494,-1,-1,19.987,926.899,0,0,0,
114,83.278,-4.007,0.0,0.0,19.981,926.93,0,0,0,
115,83.938,-3.618,0.0,0.0,19.971,926.85,0,0,0,
116,84.598,-4.576,-1,-1,19.971,927.034,0,0,0,
117,85.258,-3.827,0.0,0.0,19.974,926.873,0,0,0,
118,85.919,-3.705,-1,-1,19.962,926.845,0,0,0,
119,86.579,2.281,0.0,0.0,19.752,926.253,0,0,0,
120,87.64,-4.056,0.0,0.0,19.897,926.949,0,0,0,
121,88.3,-2.844,-1,-1,19.814,926.856,0,0,0,
122,118.217,-3.093,0.0,0.0,19.944,926.775,0,0,0,
123,118.878,-3.475,-1,-1,19.942,926.747,0,0,0,
124,119.538,-3.857,0.0,0.0,19.939,926.987,0,0,0,
125,120.199,-5.228,0.0,0.0,19.932,927.0,0,0,0,
126,120.86,-3.717,-1,-1,19.747,926.667,0,0,0,
127,121.52,0.012,0.0,0.0,19.867,926.595,0,0,0,
128,122.18,-1.944,-1,-1,19.64,926.496,0,0,0,
129,122.841,-5.057,0.0,0.0,19.909,926.981,0,0,0,
