n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
0,5.977,-0.239,-1,-1,20.822,928.011,0,0,0,
1,6.64,-0.374,0.0,0.0,20.874,927.994,0,0,0,
2,7.301,0.082,-1,-1,20.87,927.985,0,0,0,
3,7.964,0.357,-1,-1,20.889,927.947,0,0,0,
4,8.63,0.745,-1,-1,20.892,927.886,0,0,0,
5,9.693,0.05,-1,-1,20.839,927.995,0,0,0,
6,10.354,-0.328,0.0,0.0,20.882,928.002,0,0,0,
7,11.016,1.015,0.0,0.0,20.797,927.965,0,0,0,
8,11.678,0.286,-1,-1,20.86,928.01,0,0,0,
9,12.34,0.251,0.0,0.0,20.765,927.909,0,0,0,
10,13.403,0.35,-1,-1,20.765,927.854,0,0,0,
11,14.06,-0.156,-1,-1,20.762,928.008,0,0,0,
12,14.719,0.19,-1,-1,20.817,927.935,0,0,0,
13,15.382,0.293,-1,-1,20.805,928.021,0,0,0,
14,16.044,0.049,0.0,0.0,20.807,927.993,0,0,0,
15,17.107,-0.194,0.0,0.0,20.735,928.017,0,0,0,
16,17.766,-0.159,-1,-1,20.767,928.067,0,0,0,
17,18.426,-0.165,0.0,0.0,20.762,928.012,0,0,0,
18,19.09,-0.62,-1,-1,20.765,928.04,0,0,0,
19,19.75,-0.137,-1,-1,20.75,927.988,0,0,0,
20,20.811,-0.285,-1,-1,20.665,928.014,0,0,0,
21,21.472,-0.314,-1,-1,20.712,928.028,0,0,0,
22,22.132,0.196,0.0,0.0,20.707,927.996,0,0,0,
23,22.792,0.466,0.0,0.0,20.715,927.985,0,0,0,
24,23.452,-0.271,-1,-1,20.695,928.023,0,0,0,
25,24.517,-0.049,0.0,0.0,20.635,928.007,0,0,0,
26,25.177,0.353,-1,-1,20.69,927.972,0,0,0,
27,72.311,-0.212,-1,-1,20.643,927.899,0,0,0,
28,72.971,-0.02,-1,-1,20.69,928.023,0,0,0,
29,73.632,-0.29,-1,-1,20.68,928.006,0,0,0,
