time,temperature,pressure,altitude
0.12,21.05,1009.66,-0.13
0.34,21.14,1009.66,-0.01
0.56,21.16,1009.7,-0.15
0.78,21.18,1009.67,-0.29
1.0,21.19,1009.69,-0.45
1.22,21.2,1009.69,-0.38
1.44,21.2,1009.69,-0.17
1.66,21.21,1009.66,-0.06
1.88,21.21,1009.68,-0.15
2.1,21.21,1009.69,-0.3
2.32,21.23,1009.69,-0.06
2.54,21.22,1009.66,0.2
2.76,21.23,1009.67,0.04
2.98,21.24,1009.7,-0.04
3.2,21.24,1009.68,0.01
3.42,21.24,1009.68,-0.11
3.64,21.25,1009.7,-0.41
3.86,21.25,1009.68,-0.1
4.08,21.25,1009.68,-0.01
4.3,21.25,1009.69,-0.18
