time,temperature,pressure,altitude
0.22,16.54,1007.75,20.6
0.39,16.65,1007.78,20.41
0.56,16.69,1007.81,20.23
0.73,16.71,1007.86,19.61
0.96,-1,-1,18.45
1.39,16.61,1008.11,17.69
1.61,16.66,1008.21,16.9
2.61,16.58,1008.61,13.4
3.19,-1,1008.85,11.44
3.69,-1,1009.06,9.86
